SPECIALISTES,DEPARTEMENT,DEPASSEMENTS (euros)
Reanimation medicale,Cote-d,0.0
Reanimation medicale,Cotes-d,0.0
Reanimation medicale,Creuse,0.0
Reanimation medicale,Dordogne,0.0
Reanimation medicale,Doubs,0.0
Reanimation medicale,Drome,0.0
Reanimation medicale,Eure,0.0
Reanimation medicale,Eure-et-Loir,0.0
Reanimation medicale,Finistere,0.0
Reanimation medicale,Gard,0.0
Reanimation medicale,Gers,0.0
Reanimation medicale,Gironde,0.0
Reanimation medicale,Herault,0.0
Reanimation medicale,Ille-et-Vilaine,0.0
Reanimation medicale,Indre,0.0
Reanimation medicale,Indre-et-Loire,0.0
Reanimation medicale,Isere,0.0
Reanimation medicale,Jura,0.0
Reanimation medicale,Landes,0.0
Reanimation medicale,Loir-et-Cher,0.0
Reanimation medicale,Loire,0.0
Reanimation medicale,Haute-Loire,0.0
Reanimation medicale,Loire-Atlantique,0.0
Reanimation medicale,Loiret,0.0
Reanimation medicale,Lot,0.0
Reanimation medicale,Lot-et-Garonne,0.0
Reanimation medicale,Lozere,0.0
Reanimation medicale,Maine-et-Loire,0.0
Reanimation medicale,Manche,0.0
Reanimation medicale,Haute-Marne,0.0
Reanimation medicale,Mayenne,0.0
Reanimation medicale,Meuse,0.0
Reanimation medicale,Morbihan,0.0
Reanimation medicale,Moselle,0.0
Reanimation medicale,Nievre,0.0
Reanimation medicale,Nord,0.0
Reanimation medicale,Oise,0.0
Reanimation medicale,Orne,0.0
Reanimation medicale,Pas-de-Calais,0.0
Reanimation medicale,Puy-de-Dome,0.0
Reanimation medicale,Pyrenees-Atlantiques,0.0
Reanimation medicale,Hautes-Pyrenees,0.0
Reanimation medicale,Bas-Rhin,0.0
Reanimation medicale,Haut-Rhin,0.0
Reanimation medicale,Rhone,0.0
Reanimation medicale,Haute-Saone,0.0
Reanimation medicale,Saone-et-Loire,0.0
Reanimation medicale,Sarthe,0.0
Reanimation medicale,Savoie,0.0
Reanimation medicale,Haute-Savoie,0.0
Reanimation medicale,Paris ,0.0
Reanimation medicale,Seine-Maritime,0.0
Reanimation medicale,Seine-et-Marne,0.0
Reanimation medicale,Deux-Sevres,0.0
Reanimation medicale,Somme,0.0
Reanimation medicale,Tarn,0.0
Reanimation medicale,Var,0.0
Reanimation medicale,Vaucluse,0.0
Reanimation medicale,Vendee,0.0
Reanimation medicale,Vienne,0.0
Reanimation medicale,Haute-Vienne,0.0
Reanimation medicale,Vosges,0.0
Reanimation medicale,Yonne,0.0
Reanimation medicale,Terr,0.0
Reanimation medicale,Seine-St-Denis,0.0
Reanimation medicale,Val-de-Marne,0.0
Reanimation medicale,Val-d,0.0
Reanimation medicale,Guadeloupe,0.0
Reanimation medicale,Martinique,0.0
Reanimation medicale,Guyane,0.0
Reanimation medicale,Reunion,0.0
Reanimation medicale,Mayotte,0.0
Pathologie cardio-vasculaire,Ain,244823.0
Pathologie cardio-vasculaire,Aisne,3737.0
Pathologie cardio-vasculaire,Allier,52181.0
Pathologie cardio-vasculaire,Alpes-Hte-Provence,1019.0
Pathologie cardio-vasculaire,Alpes-Maritimes,1993120.0
Pathologie cardio-vasculaire,Ardeche,16028.0
Pathologie cardio-vasculaire,Ardennes,3909.0
Pathologie cardio-vasculaire,Aube,64288.0
Pathologie cardio-vasculaire,Aude,2074.0
Pathologie cardio-vasculaire,Aveyron,5612.0
Pathologie cardio-vasculaire,Bouches-du-Rhone,386473.0
Pathologie cardio-vasculaire,Calvados,355240.0
Pathologie cardio-vasculaire,Charente,3440.0
Pathologie cardio-vasculaire,Charente-Maritime,209759.0
Pathologie cardio-vasculaire,Cher,12302.0
Pathologie cardio-vasculaire,Correze,3265.0
Pathologie cardio-vasculaire,Cote-d,125244.0
Pathologie cardio-vasculaire,Cotes-d,7509.0
Pathologie cardio-vasculaire,Dordogne,57113.0
Pathologie cardio-vasculaire,Doubs,33730.0
Pathologie cardio-vasculaire,Drome,137618.0
Pathologie cardio-vasculaire,Eure,207123.0
Pathologie cardio-vasculaire,Eure-et-Loir,45081.0
Pathologie cardio-vasculaire,Finistere,18620.0
Pathologie cardio-vasculaire,Gard,23789.0
Pathologie cardio-vasculaire,Haute-Garonne,32215.0
Pathologie cardio-vasculaire,Gironde,1993486.0
Pathologie cardio-vasculaire,Herault,92495.0
Pathologie cardio-vasculaire,Ille-et-Vilaine,49948.0
Pathologie cardio-vasculaire,Indre-et-Loire,54759.0
Pathologie cardio-vasculaire,Isere,1120326.0
Pathologie cardio-vasculaire,Landes,76669.0
Pathologie cardio-vasculaire,Loir-et-Cher,2479.0
Pathologie cardio-vasculaire,Loire,77098.0
Pathologie cardio-vasculaire,Loire-Atlantique,126438.0
Pathologie cardio-vasculaire,Loiret,728312.0
Pathologie cardio-vasculaire,Lot-et-Garonne,3613.0
Pathologie cardio-vasculaire,Maine-et-Loire,25028.0
Pathologie cardio-vasculaire,Manche,5124.0
Pathologie cardio-vasculaire,Marne,16674.0
Pathologie cardio-vasculaire,Meurthe-et-Moselle,176047.0
Pathologie cardio-vasculaire,Meuse,1539.0
Pathologie cardio-vasculaire,Morbihan,9883.0
Pathologie cardio-vasculaire,Moselle,35759.0
Pathologie cardio-vasculaire,Nievre,29697.0
Pathologie cardio-vasculaire,Nord,1265394.0
Pathologie cardio-vasculaire,Oise,357505.0
Pathologie cardio-vasculaire,Pas-de-Calais,78080.0
Pathologie cardio-vasculaire,Puy-de-Dome,72905.0
Pathologie cardio-vasculaire,Pyrenees-Atlantiques,213746.0
Pathologie cardio-vasculaire,Hautes-Pyrenees,3549.0
Pathologie cardio-vasculaire,Pyrenees-Orientales,10740.0
Pathologie cardio-vasculaire,Bas-Rhin,1066089.0
Pathologie cardio-vasculaire,Haut-Rhin,144369.0
Pathologie cardio-vasculaire,Rhone,4808838.0
Pathologie cardio-vasculaire,Saone-et-Loire,6208.0
Pathologie cardio-vasculaire,Sarthe,3743.0
Pathologie cardio-vasculaire,Savoie,20730.0
Pathologie cardio-vasculaire,Haute-Savoie,720081.0
Pathologie cardio-vasculaire,Paris ,12678670.0
Pathologie cardio-vasculaire,Seine-Maritime,302010.0
Pathologie cardio-vasculaire,Seine-et-Marne,1287338.0
Pathologie cardio-vasculaire,Yvelines,2489397.0
Pathologie cardio-vasculaire,Deux-Sevres,2637.0
Pathologie cardio-vasculaire,Somme,8091.0
Pathologie cardio-vasculaire,Tarn,2805.0
Pathologie cardio-vasculaire,Tarn-et-Garonne,3230.0
Pathologie cardio-vasculaire,Var,870152.0
Pathologie cardio-vasculaire,Vaucluse,161106.0
Pathologie cardio-vasculaire,Vendee,180494.0
Pathologie cardio-vasculaire,Vienne,18418.0
Pathologie cardio-vasculaire,Haute-Vienne,4335.0
Pathologie cardio-vasculaire,Vosges,454430.0
Pathologie cardio-vasculaire,Yonne,55989.0
Pathologie cardio-vasculaire,Essonne,556322.0
Pathologie cardio-vasculaire,Hauts-de-Seine,5516881.0
Pathologie cardio-vasculaire,Seine-St-Denis,780905.0
Pathologie cardio-vasculaire,Val-de-Marne,903842.0
Pathologie cardio-vasculaire,Val-d,1959225.0
Pathologie cardio-vasculaire,Guadeloupe,64235.0
Pathologie cardio-vasculaire,Martinique,106703.0
Pathologie cardio-vasculaire,Reunion,19385.0
Chirurgie infantile,Ain,0.0
Chirurgie infantile,Aisne,0.0
Chirurgie infantile,Allier,0.0
Chirurgie infantile,Alpes-Hte-Provence,0.0
Chirurgie infantile,Hautes-Alpes,0.0
Chirurgie infantile,Ardeche,0.0
Chirurgie infantile,Ardennes,0.0
Chirurgie infantile,Ariege,0.0
Chirurgie infantile,Aube,0.0
Chirurgie infantile,Aude,0.0
Chirurgie infantile,Aveyron,0.0
Chirurgie infantile,Cantal,0.0
Chirurgie infantile,Charente,0.0
Chirurgie infantile,Charente-Maritime,0.0
Chirurgie infantile,Cher,0.0
Chirurgie infantile,Cotes-d,0.0
Chirurgie infantile,Creuse,0.0
Chirurgie infantile,Dordogne,0.0
Chirurgie infantile,Eure,0.0
Chirurgie infantile,Eure-et-Loir,0.0
Chirurgie infantile,Finistere,0.0
Chirurgie infantile,Gers,0.0
Chirurgie infantile,Indre,0.0
Chirurgie infantile,Indre-et-Loire,0.0
Chirurgie infantile,Isere,0.0
Chirurgie infantile,Jura,0.0
Chirurgie infantile,Landes,0.0
Chirurgie infantile,Loir-et-Cher,0.0
Chirurgie infantile,Haute-Loire,0.0
Chirurgie infantile,Lot,0.0
Chirurgie infantile,Lot-et-Garonne,0.0
Chirurgie infantile,Lozere,0.0
Chirurgie infantile,Manche,0.0
Chirurgie infantile,Marne,0.0
Chirurgie infantile,Haute-Marne,0.0
Chirurgie infantile,Mayenne,0.0
Chirurgie infantile,Meuse,0.0
Chirurgie infantile,Morbihan,0.0
Chirurgie infantile,Nievre,0.0
Chirurgie infantile,Oise,0.0
Chirurgie infantile,Orne,0.0
Chirurgie infantile,Puy-de-Dome,0.0
Chirurgie infantile,Pyrenees-Atlantiques,0.0
Chirurgie infantile,Hautes-Pyrenees,0.0
Chirurgie infantile,Pyrenees-Orientales,0.0
Chirurgie infantile,Rhone,1137690.0
Chirurgie infantile,Haute-Saone,0.0
Chirurgie infantile,Saone-et-Loire,0.0
Chirurgie infantile,Sarthe,0.0
Chirurgie infantile,Savoie,0.0
Chirurgie infantile,Seine-et-Marne,0.0
Chirurgie infantile,Deux-Sevres,0.0
Chirurgie infantile,Somme,0.0
Chirurgie infantile,Tarn,0.0
Chirurgie infantile,Tarn-et-Garonne,0.0
Chirurgie infantile,Vendee,0.0
Chirurgie infantile,Haute-Vienne,112.0
Chirurgie infantile,Vosges,0.0
Chirurgie infantile,Yonne,0.0
Chirurgie infantile,Terr,0.0
Chirurgie infantile,Seine-St-Denis,0.0
Chirurgie infantile,Val-de-Marne,0.0
Chirurgie infantile,Guadeloupe,0.0
Chirurgie infantile,Guyane,0.0
Chirurgie infantile,Reunion,0.0
Chirurgie infantile,Mayotte,0.0
Chirurgie maxillo-faciale,Ain,0.0
Chirurgie maxillo-faciale,Aisne,0.0
Chirurgie maxillo-faciale,Alpes-Hte-Provence,0.0
Chirurgie maxillo-faciale,Hautes-Alpes,0.0
Chirurgie maxillo-faciale,Ardeche,0.0
Chirurgie maxillo-faciale,Ardennes,0.0
Chirurgie maxillo-faciale,Ariege,0.0
Chirurgie maxillo-faciale,Aube,0.0
Chirurgie maxillo-faciale,Aveyron,0.0
Chirurgie maxillo-faciale,Calvados,0.0
Chirurgie maxillo-faciale,Cantal,0.0
Chirurgie maxillo-faciale,Charente,0.0
Chirurgie maxillo-faciale,Cher,0.0
Chirurgie maxillo-faciale,Cotes-d,0.0
Chirurgie maxillo-faciale,Creuse,0.0
Chirurgie maxillo-faciale,Dordogne,0.0
Chirurgie maxillo-faciale,Drome,0.0
Chirurgie maxillo-faciale,Eure,0.0
Chirurgie maxillo-faciale,Eure-et-Loir,0.0
Chirurgie maxillo-faciale,Finistere,0.0
Chirurgie maxillo-faciale,Gers,0.0
Chirurgie maxillo-faciale,Indre,0.0
Chirurgie maxillo-faciale,Jura,0.0
Chirurgie maxillo-faciale,Landes,0.0
Chirurgie maxillo-faciale,Loir-et-Cher,0.0
Chirurgie maxillo-faciale,Haute-Loire,0.0
Chirurgie maxillo-faciale,Loire-Atlantique,0.0
Chirurgie maxillo-faciale,Loiret,0.0
Chirurgie maxillo-faciale,Lot,0.0
Chirurgie maxillo-faciale,Lot-et-Garonne,0.0
Chirurgie maxillo-faciale,Lozere,0.0
Chirurgie maxillo-faciale,Maine-et-Loire,0.0
Chirurgie maxillo-faciale,Manche,0.0
Chirurgie maxillo-faciale,Haute-Marne,0.0
Chirurgie maxillo-faciale,Mayenne,0.0
Chirurgie maxillo-faciale,Meurthe-et-Moselle,0.0
Chirurgie maxillo-faciale,Meuse,0.0
Chirurgie maxillo-faciale,Morbihan,0.0
Chirurgie maxillo-faciale,Moselle,0.0
Chirurgie maxillo-faciale,Nievre,0.0
Chirurgie maxillo-faciale,Pas-de-Calais,0.0
Chirurgie maxillo-faciale,Puy-de-Dome,0.0
Chirurgie maxillo-faciale,Hautes-Pyrenees,0.0
Chirurgie maxillo-faciale,Haut-Rhin,0.0
Chirurgie maxillo-faciale,Haute-Saone,0.0
Chirurgie maxillo-faciale,Saone-et-Loire,0.0
Chirurgie maxillo-faciale,Savoie,0.0
Chirurgie maxillo-faciale,Haute-Savoie,0.0
Chirurgie maxillo-faciale,Yvelines,0.0
Chirurgie maxillo-faciale,Deux-Sevres,0.0
Chirurgie maxillo-faciale,Somme,0.0
Chirurgie maxillo-faciale,Tarn-et-Garonne,0.0
Chirurgie maxillo-faciale,Haute-Vienne,0.0
Chirurgie maxillo-faciale,Vosges,0.0
Chirurgie maxillo-faciale,Yonne,0.0
Chirurgie maxillo-faciale,Terr,0.0
Chirurgie maxillo-faciale,Essonne,0.0
Chirurgie maxillo-faciale,Hauts-de-Seine,0.0
Chirurgie maxillo-faciale,Seine-St-Denis,6178.0
Chirurgie maxillo-faciale,Val-d,0.0
Chirurgie maxillo-faciale,Guadeloupe,0.0
Chirurgie maxillo-faciale,Martinique,0.0
Chirurgie maxillo-faciale,Guyane,0.0
Chirurgie maxillo-faciale,Reunion,0.0
Chirurgie maxillo-faciale,Mayotte,0.0
Chirurgie plastique reconstructrice et esthetique,Alpes-Hte-Provence,0.0
Chirurgie plastique reconstructrice et esthetique,Hautes-Alpes,0.0
Chirurgie plastique reconstructrice et esthetique,Alpes-Maritimes,1725920.0
Chirurgie plastique reconstructrice et esthetique,Ardeche,0.0
Chirurgie plastique reconstructrice et esthetique,Ardennes,0.0
Chirurgie plastique reconstructrice et esthetique,Ariege,0.0
Chirurgie plastique reconstructrice et esthetique,Aveyron,0.0
Chirurgie plastique reconstructrice et esthetique,Bouches-du-Rhone,2238046.0
Chirurgie plastique reconstructrice et esthetique,Creuse,0.0
Chirurgie plastique reconstructrice et esthetique,Haute-Garonne,2018884.0
Chirurgie plastique reconstructrice et esthetique,Gers,0.0
Chirurgie plastique reconstructrice et esthetique,Gironde,1721569.0
Chirurgie plastique reconstructrice et esthetique,Herault,1066894.0
Chirurgie plastique reconstructrice et esthetique,Indre,0.0
Chirurgie plastique reconstructrice et esthetique,Isere,941059.0
Chirurgie plastique reconstructrice et esthetique,Jura,0.0
Chirurgie plastique reconstructrice et esthetique,Landes,0.0
Chirurgie plastique reconstructrice et esthetique,Haute-Loire,0.0
Chirurgie plastique reconstructrice et esthetique,Loire-Atlantique,982157.0
Chirurgie plastique reconstructrice et esthetique,Lot,0.0
Chirurgie plastique reconstructrice et esthetique,Lozere,0.0
Chirurgie plastique reconstructrice et esthetique,Manche,97515.0
Chirurgie plastique reconstructrice et esthetique,Haute-Marne,0.0
Chirurgie plastique reconstructrice et esthetique,Mayenne,0.0
Chirurgie plastique reconstructrice et esthetique,Meuse,0.0
Chirurgie plastique reconstructrice et esthetique,Nievre,0.0
Chirurgie plastique reconstructrice et esthetique,Nord,2846811.0
Chirurgie plastique reconstructrice et esthetique,Orne,0.0
Chirurgie plastique reconstructrice et esthetique,Rhone,5429942.0
Chirurgie plastique reconstructrice et esthetique,Paris ,17722224.0
Chirurgie plastique reconstructrice et esthetique,Seine-Maritime,1194280.0
Chirurgie plastique reconstructrice et esthetique,Var,628840.0
Chirurgie plastique reconstructrice et esthetique,Yonne,0.0
Chirurgie plastique reconstructrice et esthetique,Hauts-de-Seine,1211269.0
Chirurgie plastique reconstructrice et esthetique,Guyane,0.0
Chirurgie plastique reconstructrice et esthetique,Mayotte,311.0
Chirurgie thoracique et cardio-vasculaire,Ain,0.0
Chirurgie thoracique et cardio-vasculaire,Aisne,0.0
Chirurgie thoracique et cardio-vasculaire,Allier,0.0
Chirurgie thoracique et cardio-vasculaire,Alpes-Hte-Provence,0.0
Chirurgie thoracique et cardio-vasculaire,Hautes-Alpes,0.0
Chirurgie thoracique et cardio-vasculaire,Ardeche,0.0
Chirurgie thoracique et cardio-vasculaire,Ardennes,0.0
Chirurgie thoracique et cardio-vasculaire,Ariege,0.0
Chirurgie thoracique et cardio-vasculaire,Aube,0.0
Chirurgie thoracique et cardio-vasculaire,Aveyron,0.0
Chirurgie thoracique et cardio-vasculaire,Cher,0.0
Chirurgie thoracique et cardio-vasculaire,Correze,0.0
Chirurgie thoracique et cardio-vasculaire,Creuse,0.0
Chirurgie thoracique et cardio-vasculaire,Dordogne,0.0
Chirurgie thoracique et cardio-vasculaire,Drome,0.0
Chirurgie thoracique et cardio-vasculaire,Eure,0.0
Chirurgie thoracique et cardio-vasculaire,Eure-et-Loir,0.0
Chirurgie thoracique et cardio-vasculaire,Haute-Garonne,6653.0
Chirurgie thoracique et cardio-vasculaire,Gers,0.0
Chirurgie thoracique et cardio-vasculaire,Indre,0.0
Chirurgie thoracique et cardio-vasculaire,Jura,0.0
Chirurgie thoracique et cardio-vasculaire,Landes,0.0
Chirurgie thoracique et cardio-vasculaire,Loir-et-Cher,0.0
Chirurgie thoracique et cardio-vasculaire,Haute-Loire,0.0
Chirurgie thoracique et cardio-vasculaire,Loiret,0.0
Chirurgie thoracique et cardio-vasculaire,Lot,0.0
Chirurgie thoracique et cardio-vasculaire,Manche,0.0
Chirurgie thoracique et cardio-vasculaire,Haute-Marne,0.0
Chirurgie thoracique et cardio-vasculaire,Meuse,0.0
Chirurgie thoracique et cardio-vasculaire,Nievre,0.0
Chirurgie thoracique et cardio-vasculaire,Orne,0.0
Chirurgie thoracique et cardio-vasculaire,Hautes-Pyrenees,0.0
Chirurgie thoracique et cardio-vasculaire,Haute-Saone,0.0
Chirurgie thoracique et cardio-vasculaire,Paris ,778116.0
Chirurgie thoracique et cardio-vasculaire,Tarn,0.0
Chirurgie thoracique et cardio-vasculaire,Tarn-et-Garonne,0.0
Chirurgie thoracique et cardio-vasculaire,Vendee,0.0
Chirurgie thoracique et cardio-vasculaire,Vosges,0.0
Chirurgie thoracique et cardio-vasculaire,Yonne,0.0
Chirurgie thoracique et cardio-vasculaire,Terr,0.0
Chirurgie thoracique et cardio-vasculaire,Val-d,0.0
Chirurgie thoracique et cardio-vasculaire,Guyane,0.0
Chirurgie thoracique et cardio-vasculaire,Mayotte,0.0
Chirurgie vasculaire,Alpes-Hte-Provence,0.0
Chirurgie vasculaire,Hautes-Alpes,0.0
Chirurgie vasculaire,Alpes-Maritimes,893853.0
Chirurgie vasculaire,Ardennes,0.0
Chirurgie vasculaire,Ariege,0.0
Chirurgie vasculaire,Bouches-du-Rhone,386712.0
Chirurgie vasculaire,Creuse,0.0
Chirurgie vasculaire,Drome,0.0
Chirurgie vasculaire,Eure,0.0
Chirurgie vasculaire,Indre,0.0
Chirurgie vasculaire,Jura,0.0
Chirurgie vasculaire,Loire-Atlantique,200307.0
Chirurgie vasculaire,Lozere,0.0
Chirurgie vasculaire,Haute-Marne,0.0
Chirurgie vasculaire,Meuse,0.0
Chirurgie vasculaire,Pyrenees-Orientales,0.0
Chirurgie vasculaire,Rhone,4011800.0
Chirurgie vasculaire,Haute-Saone,0.0
Chirurgie vasculaire,Paris ,3437736.0
Chirurgie vasculaire,Tarn-et-Garonne,0.0
Chirurgie vasculaire,Var,335644.0
Chirurgie vasculaire,Haute-Vienne,0.0
Chirurgie vasculaire,Martinique,0.0
Chirurgie vasculaire,Mayotte,0.0
Chirurgie viscerale et digestive,Ardennes,0.0
Chirurgie viscerale et digestive,Aveyron,0.0
Chirurgie viscerale et digestive,Bouches-du-Rhone,747500.0
Chirurgie viscerale et digestive,Cantal,0.0
Chirurgie viscerale et digestive,Cher,0.0
Chirurgie viscerale et digestive,Creuse,0.0
Chirurgie viscerale et digestive,Haute-Garonne,469121.0
Chirurgie viscerale et digestive,Herault,842766.0
Chirurgie viscerale et digestive,Ille-et-Vilaine,581971.0
Chirurgie viscerale et digestive,Indre,0.0
Chirurgie viscerale et digestive,Lozere,0.0
Chirurgie viscerale et digestive,Haute-Marne,0.0
Chirurgie viscerale et digestive,Nord,1788218.0
Chirurgie viscerale et digestive,Orne,0.0
Chirurgie viscerale et digestive,Pas-de-Calais,702292.0
Chirurgie viscerale et digestive,Rhone,3569070.0
Chirurgie viscerale et digestive,Haute-Saone,0.0
Chirurgie viscerale et digestive,Paris ,4899572.0
Chirurgie viscerale et digestive,Seine-Maritime,1001851.0
Chirurgie viscerale et digestive,Mayotte,0.0
Chirurgie generale,Alpes-Maritimes,5077505.0
Chirurgie generale,Ardeche,811272.0
Chirurgie generale,Aube,574477.0
Chirurgie generale,Bouches-du-Rhone,3991250.0
Chirurgie generale,Calvados,1106151.0
Chirurgie generale,Charente-Maritime,298559.0
Chirurgie generale,Cote-d,1438748.0
Chirurgie generale,Doubs,609344.0
Chirurgie generale,Finistere,468162.0
Chirurgie generale,Haute-Garonne,1491563.0
Chirurgie generale,Gers,0.0
Chirurgie generale,Gironde,3911342.0
Chirurgie generale,Herault,1260499.0
Chirurgie generale,Ille-et-Vilaine,442613.0
Chirurgie generale,Isere,2408212.0
Chirurgie generale,Loire,1614622.0
Chirurgie generale,Loire-Atlantique,505026.0
Chirurgie generale,Loiret,604172.0
Chirurgie generale,Manche,298640.0
Chirurgie generale,Marne,2041700.0
Chirurgie generale,Meurthe-et-Moselle,2898118.0
Chirurgie generale,Moselle,1142259.0
Chirurgie generale,Nord,4460577.0
Chirurgie generale,Oise,783818.0
Chirurgie generale,Pas-de-Calais,1546998.0
Chirurgie generale,Puy-de-Dome,963733.0
Chirurgie generale,Pyrenees-Atlantiques,1495182.0
Chirurgie generale,Bas-Rhin,4847282.0
Chirurgie generale,Haut-Rhin,1670974.0
Chirurgie generale,Rhone,8343491.0
Chirurgie generale,Sarthe,1334677.0
Chirurgie generale,Haute-Savoie,750733.0
Chirurgie generale,Paris ,18724463.0
Chirurgie generale,Seine-Maritime,1642712.0
Chirurgie generale,Seine-et-Marne,1402213.0
Chirurgie generale,Yvelines,3938773.0
Chirurgie generale,Deux-Sevres,2671.0
Chirurgie generale,Somme,451056.0
Chirurgie generale,Var,1216206.0
Chirurgie generale,Vaucluse,1068601.0
Chirurgie generale,Haute-Vienne,840152.0
Chirurgie generale,Essonne,2355147.0
Chirurgie generale,Hauts-de-Seine,5127647.0
Chirurgie generale,Seine-St-Denis,1995597.0
Chirurgie generale,Val-de-Marne,1637153.0
Chirurgie generale,Val-d,2106848.0
Chirurgie generale,Reunion,358277.0
Chirurgie generale,Mayotte,0.0
Neurochirurgie,Ain,0.0
Neurochirurgie,Aisne,0.0
Neurochirurgie,Allier,0.0
