specialite,zone_inscription,effectifs
Chirurgie maxillo-faciale et stomatologie,Aisne,4
Chirurgie orthopedique et traumatologie,Aisne,25
Chirurgie infantile,Aisne,0
Chirurgie plastique reconstructrice et esthetique,Aisne,1
Chirurgie thoracique et cardio-vasculaire,Aisne,0
Chirurgie urologique,Aisne,7
Chirurgie vasculaire,Aisne,2
Chirurgie viscerale et digestive,Aisne,4
Dermatologie et venereologie,Aisne,17
Endocrinologie et metabolisme,Aisne,10
Genetique medicale,Aisne,0
Geriatrie,Aisne,13
Gynecologie medicale,Aisne,18
Gynecologie-obstetrique,Aisne,33
Hematologie,Aisne,2
Gastro-enterologie et hepatologie,Aisne,24
Medecine du travail,Aisne,34
Medecine interne,Aisne,18
Medecine nucleaire,Aisne,2
Medecine physique et readaptation,Aisne,10
Nephrologie,Aisne,9
Neuro-chirurgie,Aisne,0
Neurologie,Aisne,9
O.R.L et chirurgie cervico faciale,Aisne,14
Oncologie option medicale,Aisne,3
Ophtalmologie,Aisne,30
Pediatrie,Aisne,51
Pneumologie,Aisne,21
Psychiatrie,Aisne,67
Radio-diagnostic et imagerie medicale,Aisne,42
Radio-therapie,Aisne,4
Reanimation medicale,Aisne,2
Recherche medicale,Aisne,0
Rhumatologie,Aisne,15
Sante publique et medecine sociale,Aisne,7
Generalistes,Aisne,636
Medecine generale,Aisne,636
Ensemble des specialites d'exercice,Allier,966
Specialistes,Allier,460
Anatomie et cytologie pathologiques,Allier,5
Anesthesie-reanimation,Allier,38
Biologie medicale,Allier,7
Cardiologie et maladies vasculaires,Allier,25
Chirurgie generale,Allier,14
Chirurgie maxillo-faciale et stomatologie,Allier,3
Chirurgie orthopedique et traumatologie,Allier,20
Chirurgie infantile,Allier,0
Chirurgie plastique reconstructrice et esthetique,Allier,2
Chirurgie thoracique et cardio-vasculaire,Allier,0
Chirurgie urologique,Allier,10
Chirurgie vasculaire,Allier,5
Chirurgie viscerale et digestive,Allier,5
Dermatologie et venereologie,Allier,13
Endocrinologie et metabolisme,Allier,6
Genetique medicale,Allier,0
Geriatrie,Allier,9
Gynecologie medicale,Allier,11
Gynecologie-obstetrique,Allier,24
Hematologie,Allier,1
Gastro-enterologie et hepatologie,Allier,15
Medecine du travail,Allier,24
Medecine interne,Allier,12
Medecine nucleaire,Allier,1
Medecine physique et readaptation,Allier,10
Nephrologie,Allier,6
Neuro-chirurgie,Allier,0
Neurologie,Allier,11
O.R.L et chirurgie cervico faciale,Allier,13
Oncologie option medicale,Allier,1
Ophtalmologie,Allier,29
Pediatrie,Allier,17
Pneumologie,Allier,12
Psychiatrie,Allier,53
Radio-diagnostic et imagerie medicale,Allier,30
Radio-therapie,Allier,6
Reanimation medicale,Allier,3
Recherche medicale,Allier,0
Rhumatologie,Allier,15
Sante publique et medecine sociale,Allier,4
Generalistes,Allier,506
Medecine generale,Allier,506
Ensemble des specialites d'exercice,Allier,964
Specialistes,Allier,464
Anatomie et cytologie pathologiques,Allier,5
Anesthesie-reanimation,Allier,43
Biologie medicale,Allier,9
Cardiologie et maladies vasculaires,Allier,27
Chirurgie generale,Allier,15
Chirurgie maxillo-faciale et stomatologie,Allier,2
Chirurgie orthopedique et traumatologie,Allier,19
Chirurgie infantile,Allier,0
Chirurgie plastique reconstructrice et esthetique,Allier,2
Chirurgie thoracique et cardio-vasculaire,Allier,0
Chirurgie urologique,Allier,10
Chirurgie vasculaire,Allier,4
Chirurgie viscerale et digestive,Allier,5
Dermatologie et venereologie,Allier,13
Endocrinologie et metabolisme,Allier,6
Genetique medicale,Allier,0
Geriatrie,Allier,8
Gynecologie medicale,Allier,11
Gynecologie-obstetrique,Allier,27
Hematologie,Allier,1
Gastro-enterologie et hepatologie,Allier,16
Medecine du travail,Allier,23
Medecine interne,Allier,14
Medecine nucleaire,Allier,2
Medecine physique et readaptation,Allier,9
Nephrologie,Allier,5
Neuro-chirurgie,Allier,0
Neurologie,Allier,11
O.R.L et chirurgie cervico faciale,Allier,13
Oncologie option medicale,Allier,1
Ophtalmologie,Allier,26
Pediatrie,Allier,18
Pneumologie,Allier,12
Psychiatrie,Allier,47
Radio-diagnostic et imagerie medicale,Allier,33
Radio-therapie,Allier,6
Reanimation medicale,Allier,2
Recherche medicale,Allier,0
Rhumatologie,Allier,16
Sante publique et medecine sociale,Allier,3
Generalistes,Allier,500
Medecine generale,Allier,500
Ensemble des specialites d'exercice,Alpes-de-Haute-Provence,485
Specialistes,Alpes-de-Haute-Provence,192
Anatomie et cytologie pathologiques,Alpes-de-Haute-Provence,2
Anesthesie-reanimation,Alpes-de-Haute-Provence,15
Biologie medicale,Alpes-de-Haute-Provence,4
Cardiologie et maladies vasculaires,Alpes-de-Haute-Provence,12
Chirurgie generale,Alpes-de-Haute-Provence,3
Chirurgie maxillo-faciale et stomatologie,Alpes-de-Haute-Provence,1
Chirurgie orthopedique et traumatologie,Alpes-de-Haute-Provence,8
Chirurgie infantile,Alpes-de-Haute-Provence,0
Chirurgie plastique reconstructrice et esthetique,Alpes-de-Haute-Provence,0
Chirurgie thoracique et cardio-vasculaire,Alpes-de-Haute-Provence,0
Chirurgie urologique,Alpes-de-Haute-Provence,1
Chirurgie vasculaire,Alpes-de-Haute-Provence,1
Chirurgie viscerale et digestive,Alpes-de-Haute-Provence,2
Dermatologie et venereologie,Alpes-de-Haute-Provence,6
Endocrinologie et metabolisme,Alpes-de-Haute-Provence,4
Genetique medicale,Alpes-de-Haute-Provence,0
Geriatrie,Alpes-de-Haute-Provence,2
Gynecologie medicale,Alpes-de-Haute-Provence,6
Gynecologie-obstetrique,Alpes-de-Haute-Provence,7
Hematologie,Alpes-de-Haute-Provence,0
Gastro-enterologie et hepatologie,Alpes-de-Haute-Provence,5
Medecine du travail,Alpes-de-Haute-Provence,11
Medecine interne,Alpes-de-Haute-Provence,3
Medecine nucleaire,Alpes-de-Haute-Provence,0
Medecine physique et readaptation,Alpes-de-Haute-Provence,11
Nephrologie,Alpes-de-Haute-Provence,4
Neuro-chirurgie,Alpes-de-Haute-Provence,0
Neurologie,Alpes-de-Haute-Provence,2
O.R.L et chirurgie cervico faciale,Alpes-de-Haute-Provence,6
Oncologie option medicale,Alpes-de-Haute-Provence,2
Ophtalmologie,Alpes-de-Haute-Provence,10
Pediatrie,Alpes-de-Haute-Provence,9
Pneumologie,Alpes-de-Haute-Provence,4
Psychiatrie,Alpes-de-Haute-Provence,28
Radio-diagnostic et imagerie medicale,Alpes-de-Haute-Provence,16
Radio-therapie,Alpes-de-Haute-Provence,0
Reanimation medicale,Alpes-de-Haute-Provence,0
Recherche medicale,Alpes-de-Haute-Provence,0
Rhumatologie,Alpes-de-Haute-Provence,6
Sante publique et medecine sociale,Alpes-de-Haute-Provence,1
Generalistes,Alpes-de-Haute-Provence,293
Medecine generale,Alpes-de-Haute-Provence,293
Ensemble des specialites d'exercice,Alpes-de-Haute-Provence,486
Specialistes,Alpes-de-Haute-Provence,194
Anatomie et cytologie pathologiques,Alpes-de-Haute-Provence,2
Anesthesie-reanimation,Alpes-de-Haute-Provence,13
Biologie medicale,Alpes-de-Haute-Provence,5
Cardiologie et maladies vasculaires,Alpes-de-Haute-Provence,12
Chirurgie generale,Alpes-de-Haute-Provence,2
Chirurgie maxillo-faciale et stomatologie,Alpes-de-Haute-Provence,1
Chirurgie orthopedique et traumatologie,Alpes-de-Haute-Provence,9
Chirurgie infantile,Alpes-de-Haute-Provence,0
Chirurgie plastique reconstructrice et esthetique,Alpes-de-Haute-Provence,0
Chirurgie thoracique et cardio-vasculaire,Alpes-de-Haute-Provence,0
Chirurgie urologique,Alpes-de-Haute-Provence,1
Chirurgie vasculaire,Alpes-de-Haute-Provence,1
Chirurgie viscerale et digestive,Alpes-de-Haute-Provence,1
Dermatologie et venereologie,Alpes-de-Haute-Provence,6
Endocrinologie et metabolisme,Alpes-de-Haute-Provence,4
Genetique medicale,Alpes-de-Haute-Provence,0
Geriatrie,Alpes-de-Haute-Provence,3
Gynecologie medicale,Alpes-de-Haute-Provence,6
Gynecologie-obstetrique,Alpes-de-Haute-Provence,7
Hematologie,Alpes-de-Haute-Provence,0
Gastro-enterologie et hepatologie,Alpes-de-Haute-Provence,5
Medecine du travail,Alpes-de-Haute-Provence,12
Medecine interne,Alpes-de-Haute-Provence,3
Medecine nucleaire,Alpes-de-Haute-Provence,0
Medecine physique et readaptation,Alpes-de-Haute-Provence,10
Nephrologie,Alpes-de-Haute-Provence,4
Neuro-chirurgie,Alpes-de-Haute-Provence,0
Neurologie,Alpes-de-Haute-Provence,2
O.R.L et chirurgie cervico faciale,Alpes-de-Haute-Provence,7
Oncologie option medicale,Alpes-de-Haute-Provence,2
Ophtalmologie,Alpes-de-Haute-Provence,12
Pediatrie,Alpes-de-Haute-Provence,9
Pneumologie,Alpes-de-Haute-Provence,4
Psychiatrie,Alpes-de-Haute-Provence,28
Radio-diagnostic et imagerie medicale,Alpes-de-Haute-Provence,16
Radio-therapie,Alpes-de-Haute-Provence,0
Reanimation medicale,Alpes-de-Haute-Provence,0
Recherche medicale,Alpes-de-Haute-Provence,0
Rhumatologie,Alpes-de-Haute-Provence,6
Sante publique et medecine sociale,Alpes-de-Haute-Provence,1
Generalistes,Alpes-de-Haute-Provence,292
Medecine generale,Alpes-de-Haute-Provence,292
Ensemble des specialites d'exercice,Hautes-Alpes,573
Specialistes,Hautes-Alpes,252
Anatomie et cytologie pathologiques,Hautes-Alpes,2
Anesthesie-reanimation,Hautes-Alpes,36
Biologie medicale,Hautes-Alpes,6
Cardiologie et maladies vasculaires,Hautes-Alpes,13
Chirurgie generale,Hautes-Alpes,7
Chirurgie maxillo-faciale et stomatologie,Hautes-Alpes,0
Chirurgie orthopedique et traumatologie,Hautes-Alpes,11
Chirurgie infantile,Hautes-Alpes,0
Chirurgie plastique reconstructrice et esthetique,Hautes-Alpes,0
Chirurgie thoracique et cardio-vasculaire,Hautes-Alpes,0
Chirurgie urologique,Hautes-Alpes,5
Chirurgie vasculaire,Hautes-Alpes,0
Chirurgie viscerale et digestive,Hautes-Alpes,2
Dermatologie et venereologie,Hautes-Alpes,9
Endocrinologie et metabolisme,Hautes-Alpes,5
Genetique medicale,Hautes-Alpes,0
Geriatrie,Hautes-Alpes,3
Gynecologie medicale,Hautes-Alpes,3
Gynecologie-obstetrique,Hautes-Alpes,9
Hematologie,Hautes-Alpes,0
Gastro-enterologie et hepatologie,Hautes-Alpes,10
Medecine du travail,Hautes-Alpes,11
Medecine interne,Hautes-Alpes,7
Medecine nucleaire,Hautes-Alpes,1
Medecine physique et readaptation,Hautes-Alpes,8
Nephrologie,Hautes-Alpes,3
Neuro-chirurgie,Hautes-Alpes,0
Neurologie,Hautes-Alpes,4
O.R.L et chirurgie cervico faciale,Hautes-Alpes,10
Oncologie option medicale,Hautes-Alpes,2
Ophtalmologie,Hautes-Alpes,10
Pediatrie,Hautes-Alpes,14
Pneumologie,Hautes-Alpes,11
Psychiatrie,Hautes-Alpes,20
Radio-diagnostic et imagerie medicale,Hautes-Alpes,18
Radio-therapie,Hautes-Alpes,2
Reanimation medicale,Hautes-Alpes,0
Recherche medicale,Hautes-Alpes,0
Rhumatologie,Hautes-Alpes,4
Sante publique et medecine sociale,Hautes-Alpes,6
Generalistes,Hautes-Alpes,321
Medecine generale,Hautes-Alpes,321
Ensemble des specialites d'exercice,Hautes-Alpes,569
Specialistes,Hautes-Alpes,248
Anatomie et cytologie pathologiques,Hautes-Alpes,2
Anesthesie-reanimation,Hautes-Alpes,33
Biologie medicale,Hautes-Alpes,7
Cardiologie et maladies vasculaires,Hautes-Alpes,12
Chirurgie generale,Hautes-Alpes,7
Chirurgie maxillo-faciale et stomatologie,Hautes-Alpes,0
Chirurgie orthopedique et traumatologie,Hautes-Alpes,12
Chirurgie infantile,Hautes-Alpes,0
Chirurgie plastique reconstructrice et esthetique,Hautes-Alpes,0
Chirurgie thoracique et cardio-vasculaire,Hautes-Alpes,0
Chirurgie urologique,Hautes-Alpes,5
Chirurgie vasculaire,Hautes-Alpes,0
Chirurgie viscerale et digestive,Hautes-Alpes,2
Dermatologie et venereologie,Hautes-Alpes,8
Endocrinologie et metabolisme,Hautes-Alpes,5
Genetique medicale,Hautes-Alpes,0
Geriatrie,Hautes-Alpes,4
Gynecologie medicale,Hautes-Alpes,3
Gynecologie-obstetrique,Hautes-Alpes,8
Hematologie,Hautes-Alpes,0
Gastro-enterologie et hepatologie,Hautes-Alpes,10
Medecine du travail,Hautes-Alpes,8
Medecine interne,Hautes-Alpes,6
Medecine nucleaire,Hautes-Alpes,0
Medecine physique et readaptation,Hautes-Alpes,8
Nephrologie,Hautes-Alpes,3
Neuro-chirurgie,Hautes-Alpes,0
Neurologie,Hautes-Alpes,4
O.R.L et chirurgie cervico faciale,Hautes-Alpes,10
Oncologie option medicale,Hautes-Alpes,1
Ophtalmologie,Hautes-Alpes,10
Pediatrie,Hautes-Alpes,15
Pneumologie,Hautes-Alpes,12
Psychiatrie,Hautes-Alpes,21
Radio-diagnostic et imagerie medicale,Hautes-Alpes,18
Radio-therapie,Hautes-Alpes,2
Reanimation medicale,Hautes-Alpes,0
Recherche medicale,Hautes-Alpes,0
Rhumatologie,Hautes-Alpes,5
Sante publique et medecine sociale,Hautes-Alpes,7
Generalistes,Hautes-Alpes,321
Medecine generale,Hautes-Alpes,321
Ensemble des specialites d'exercice,Alpes-Maritimes,4889
Specialistes,Alpes-Maritimes,2838
Anatomie et cytologie pathologiques,Alpes-Maritimes,51
Anesthesie-reanimation,Alpes-Maritimes,273
Biologie medicale,Alpes-Maritimes,81
Cardiologie et maladies vasculaires,Alpes-Maritimes,179
Chirurgie generale,Alpes-Maritimes,89
Chirurgie maxillo-faciale et stomatologie,Alpes-Maritimes,29
Chirurgie orthopedique et traumatologie,Alpes-Maritimes,71
Chirurgie infantile,Alpes-Maritimes,7
Chirurgie plastique reconstructrice et esthetique,Alpes-Maritimes,48
Chirurgie thoracique et cardio-vasculaire,Alpes-Maritimes,10
Chirurgie urologique,Alpes-Maritimes,30
Chirurgie vasculaire,Alpes-Maritimes,15
Chirurgie viscerale et digestive,Alpes-Maritimes,17
Dermatologie et venereologie,Alpes-Maritimes,131
Endocrinologie et metabolisme,Alpes-Maritimes,52
Genetique medicale,Alpes-Maritimes,5
Geriatrie,Alpes-Maritimes,25
Gynecologie medicale,Alpes-Maritimes,60
Gynecologie-obstetrique,Alpes-Maritimes,126
Hematologie,Alpes-Maritimes,6
Gastro-enterologie et hepatologie,Alpes-Maritimes,88
Medecine du travail,Alpes-Maritimes,94
Medecine interne,Alpes-Maritimes,47
Medecine nucleaire,Alpes-Maritimes,19
Medecine physique et readaptation,Alpes-Maritimes,33
Nephrologie,Alpes-Maritimes,29
Neuro-chirurgie,Alpes-Maritimes,10
Neurologie,Alpes-Maritimes,46
O.R.L et chirurgie cervico faciale,Alpes-Maritimes,80
Oncologie option medicale,Alpes-Maritimes,23
Ophtalmologie,Alpes-Maritimes,155
Pediatrie,Alpes-Maritimes,162
Pneumologie,Alpes-Maritimes,71
Psychiatrie,Alpes-Maritimes,359
Radio-diagnostic et imagerie medicale,Alpes-Maritimes,209
Radio-therapie,Alpes-Maritimes,16
Reanimation medicale,Alpes-Maritimes,1
Recherche medicale,Alpes-Maritimes,1
Rhumatologie,Alpes-Maritimes,60
Sante publique et medecine sociale,Alpes-Maritimes,30
Generalistes,Alpes-Maritimes,2051
Medecine generale,Alpes-Maritimes,2051
Ensemble des specialites d'exercice,Alpes-Maritimes,4889
Specialistes,Alpes-Maritimes,2816
Anatomie et cytologie pathologiques,Alpes-Maritimes,46
Anesthesie-reanimation,Alpes-Maritimes,267
Biologie medicale,Alpes-Maritimes,90
Cardiologie et maladies vasculaires,Alpes-Maritimes,182
Chirurgie generale,Alpes-Maritimes,87
Chirurgie maxillo-faciale et stomatologie,Alpes-Maritimes,29
Chirurgie orthopedique et traumatologie,Alpes-Maritimes,69
Chirurgie infantile,Alpes-Maritimes,7
Chirurgie plastique reconstructrice et esthetique,Alpes-Maritimes,50
Chirurgie thoracique et cardio-vasculaire,Alpes-Maritimes,9
Chirurgie urologique,Alpes-Maritimes,28
Chirurgie vasculaire,Alpes-Maritimes,15
Chirurgie viscerale et digestive,Alpes-Maritimes,17
Dermatologie et venereologie,Alpes-Maritimes,133
Endocrinologie et metabolisme,Alpes-Maritimes,53
Genetique medicale,Alpes-Maritimes,5
Geriatrie,Alpes-Maritimes,22
Gynecologie medicale,Alpes-Maritimes,64
Gynecologie-obstetrique,Alpes-Maritimes,119
Hematologie,Alpes-Maritimes,5
Gastro-enterologie et hepatologie,Alpes-Maritimes,89
Medecine du travail,Alpes-Maritimes,99
Medecine interne,Alpes-Maritimes,45
Medecine nucleaire,Alpes-Maritimes,20
Medecine physique et readaptation,Alpes-Maritimes,34
Nephrologie,Alpes-Maritimes,29
Neuro-chirurgie,Alpes-Maritimes,8
Neurologie,Alpes-Maritimes,45
O.R.L et chirurgie cervico faciale,Alpes-Maritimes,80
Oncologie option medicale,Alpes-Maritimes,21
Ophtalmologie,Alpes-Maritimes,154
Pediatrie,Alpes-Maritimes,157
Pneumologie,Alpes-Maritimes,67
Psychiatrie,Alpes-Maritimes,347
Radio-diagnostic et imagerie medicale,Alpes-Maritimes,212
Radio-therapie,Alpes-Maritimes,17
Reanimation medicale,Alpes-Maritimes,1
Recherche medicale,Alpes-Maritimes,1
Rhumatologie,Alpes-Maritimes,63
Sante publique et medecine sociale,Alpes-Maritimes,30
Generalistes,Alpes-Maritimes,2073
Medecine generale,Alpes-Maritimes,2073
Ensemble des specialites d'exercice,Ardeche,790
Specialistes,Ardeche,375
Anatomie et cytologie pathologiques,Ardeche,0
Anesthesie-reanimation,Ardeche,40
Biologie medicale,Ardeche,7
Cardiologie et maladies vasculaires,Ardeche,21
Chirurgie generale,Ardeche,23
Chirurgie maxillo-faciale et stomatologie,Ardeche,2
Chirurgie orthopedique et traumatologie,Ardeche,19
Chirurgie infantile,Ardeche,0
Chirurgie plastique reconstructrice et esthetique,Ardeche,0
Chirurgie thoracique et cardio-vasculaire,Ardeche,0
Chirurgie urologique,Ardeche,5
Chirurgie vasculaire,Ardeche,3
Chirurgie viscerale et digestive,Ardeche,1
Dermatologie et venereologie,Ardeche,13
Endocrinologie et metabolisme,Ardeche,3
Genetique medicale,Ardeche,0
Geriatrie,Ardeche,7
Gynecologie medicale,Ardeche,9
Gynecologie-obstetrique,Ardeche,17
Hematologie,Ardeche,1
Gastro-enterologie et hepatologie,Ardeche,9
Medecine du travail,Ardeche,19
Medecine interne,Ardeche,5
Medecine nucleaire,Ardeche,0
Medecine physique et readaptation,Ardeche,3
Nephrologie,Ardeche,5
Neuro-chirurgie,Ardeche,0
Neurologie,Ardeche,4
O.R.L et chirurgie cervico faciale,Ardeche,16
Oncologie option medicale,Ardeche,1
Ophtalmologie,Ardeche,16
Pediatrie,Ardeche,20
Pneumologie,Ardeche,20
Psychiatrie,Ardeche,43
Radio-diagnostic et imagerie medicale,Ardeche,26
Radio-therapie,Ardeche,0
Reanimation medicale,Ardeche,1
Recherche medicale,Ardeche,0
Rhumatologie,Ardeche,10
Sante publique et medecine sociale,Ardeche,6
Generalistes,Ardeche,415
Medecine generale,Ardeche,415
Ensemble des specialites d'exercice,Ardeche,794
Specialistes,Ardeche,375
Anatomie et cytologie pathologiques,Ardeche,0
Anesthesie-reanimation,Ardeche,40
Biologie medicale,Ardeche,8
Cardiologie et maladies vasculaires,Ardeche,20
Chirurgie generale,Ardeche,25
Chirurgie maxillo-faciale et stomatologie,Ardeche,3
Chirurgie orthopedique et traumatologie,Ardeche,18
Chirurgie infantile,Ardeche,0
Chirurgie plastique reconstructrice et esthetique,Ardeche,0
Chirurgie thoracique et cardio-vasculaire,Ardeche,0
Chirurgie urologique,Ardeche,4
Chirurgie vasculaire,Ardeche,2
Chirurgie viscerale et digestive,Ardeche,1
Dermatologie et venereologie,Ardeche,12
Endocrinologie et metabolisme,Ardeche,3
Genetique medicale,Ardeche,0
Geriatrie,Ardeche,6
Gynecologie medicale,Ardeche,10
Gynecologie-obstetrique,Ardeche,17
Hematologie,Ardeche,1
Gastro-enterologie et hepatologie,Ardeche,11
Medecine du travail,Ardeche,20
Medecine interne,Ardeche,5
Medecine nucleaire,Ardeche,0
Medecine physique et readaptation,Ardeche,4
Nephrologie,Ardeche,5
Neuro-chirurgie,Ardeche,0
Neurologie,Ardeche,4
O.R.L et chirurgie cervico faciale,Ardeche,17
Oncologie option medicale,Ardeche,1
Ophtalmologie,Ardeche,14
Pediatrie,Ardeche,22
Pneumologie,Ardeche,18
Psychiatrie,Ardeche,44
Radio-diagnostic et imagerie medicale,Ardeche,25
Radio-therapie,Ardeche,0
Reanimation medicale,Ardeche,1
Recherche medicale,Ardeche,0
Rhumatologie,Ardeche,9
Sante publique et medecine sociale,Ardeche,5
Generalistes,Ardeche,419
Medecine generale,Ardeche,419
Ensemble des specialites d'exercice,Ardennes,655
Specialistes,Ardennes,273
Anatomie et cytologie pathologiques,Ardennes,3
Anesthesie-reanimation,Ardennes,25
Biologie medicale,Ardennes,4
Cardiologie et maladies vasculaires,Ardennes,14
Chirurgie generale,Ardennes,14
Chirurgie maxillo-faciale et stomatologie,Ardennes,2
Chirurgie orthopedique et traumatologie,Ardennes,11
Chirurgie infantile,Ardennes,0
Chirurgie plastique reconstructrice et esthetique,Ardennes,0
Chirurgie thoracique et cardio-vasculaire,Ardennes,0
Chirurgie urologique,Ardennes,2
Chirurgie vasculaire,Ardennes,2
Chirurgie viscerale et digestive,Ardennes,1
Dermatologie et venereologie,Ardennes,5
Endocrinologie et metabolisme,Ardennes,3
Genetique medicale,Ardennes,0
Geriatrie,Ardennes,7
Gynecologie medicale,Ardennes,9
Gynecologie-obstetrique,Ardennes,11
Hematologie,Ardennes,1
Gastro-enterologie et hepatologie,Ardennes,9
Medecine du travail,Ardennes,19
Medecine interne,Ardennes,5
Medecine nucleaire,Ardennes,2
Medecine physique et readaptation,Ardennes,6
Nephrologie,Ardennes,4
Neuro-chirurgie,Ardennes,0
Neurologie,Ardennes,2
O.R.L et chirurgie cervico faciale,Ardennes,6
Oncologie option medicale,Ardennes,0
Ophtalmologie,Ardennes,11
Pediatrie,Ardennes,19
Pneumologie,Ardennes,9
Psychiatrie,Ardennes,27
Radio-diagnostic et imagerie medicale,Ardennes,26
Radio-therapie,Ardennes,2
Reanimation medicale,Ardennes,1
Recherche medicale,Ardennes,0
Rhumatologie,Ardennes,7
Sante publique et medecine sociale,Ardennes,4
Generalistes,Ardennes,382
Medecine generale,Ardennes,382
Ensemble des specialites d'exercice,Ardennes,646
Specialistes,Ardennes,260
Anatomie et cytologie pathologiques,Ardennes,2
Anesthesie-reanimation,Ardennes,26
Biologie medicale,Ardennes,3
Cardiologie et maladies vasculaires,Ardennes,14
