Lieu	N° région, département	Série	Unité	1999	2007	2012
ALLIER	03	LO02Nombre de pièces des résidences principales type appartement (p)	Nombre	122931.0	128871.0	123748.0
ALLIER	03	LO02Nombre de résidences principales occupées par propriétaires (p)	Nombre	89352.0	99076.0	102332.0
ALLIER	03	LO02Nombre de résidences principales occupées par locataires (p)	Nombre	54972.0	55291.0	55379.0
ALLIER	03	LO02Nombre de résidences principales HLM louées vides (p)	Nombre	16963.0	16529.0	17458.0
ALLIER	03	LO02Nombre de résidences principales occupées gratuitement (p)	Nombre	6849.0	4014.0	3423.0
ALLIER	03	LO02Nombre de résidences principales construites avant 1949 (p)	Nombre	ND	71188.0	ND
ALLIER	03	LO02Nombre de résidences principales construites de 1949 à 1974 (p)	Nombre	ND	38486.0	ND
ALLIER	03	LO02Nombre de résidences principales construites de 1975 à 1989 (p)	Nombre	ND	31589.0	ND
ALLIER	03	LO02Nombre de résidences principales construites de 1990 à 2004 (p)	Nombre	ND	13878.0	ND
ALLIER	03	LO02Nombre de résidences principales construites avant 2005 (p)	Nombre	ND	155141.0	ND
ALLIER	03	LO02Nombre de résidences principales construites avant 1946 (p)	Nombre	ND	ND	64423.0
ALLIER	03	LO02Nombre de résidences principales construites de 1946 à 1990 (p)	Nombre	ND	ND	72808.0
ALLIER	03	LO02Nombre de résidences principales construites de 1991 à 2009 (p)	Nombre	ND	ND	21082.0
ALLIER	03	LO02Nombre de résidences principales construites avant 2010 (p)	Nombre	ND	ND	158313.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Nombre total de résidences principales (p)	Nombre	59549.0	69386.0	73890.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Résidences principales type maison (p)	Nombre	40912.0	46133.0	48979.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Résidences principales type appartement (p)	Nombre	16491.0	22702.0	24372.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Résidences principales autres types (foyer logements, habitations de fortune,) (p)	Nombre	2146.0	551.0	540.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Résidences principales de 1 pièce (p)	Nombre	2291.0	2527.0	2558.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Résidences principales de 2 pièces (p)	Nombre	6183.0	6636.0	7792.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Résidences principales de 3 pièces (p)	Nombre	15365.0	16754.0	18017.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Résidences principales de 4 pièces (p)	Nombre	18843.0	21423.0	22987.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Résidences principales de 5 pièces ou plus (p)	Nombre	16867.0	22045.0	22537.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Nombre de pièces des résidences principales (p)	Nombre	231129.0	276849.0	291595.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Nombre de pièces des résidences principales type maison (p)	Nombre	173197.0	205044.0	215706.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Nombre de pièces des résidences principales type appartement (p)	Nombre	51727.0	70615.0	74800.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Nombre de résidences principales occupées par propriétaires (p)	Nombre	33650.0	40753.0	43260.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Nombre de résidences principales occupées par locataires (p)	Nombre	21721.0	25312.0	27564.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Nombre de résidences principales HLM louées vides (p)	Nombre	4343.0	5384.0	6007.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Nombre de résidences principales occupées gratuitement (p)	Nombre	4178.0	3320.0	3066.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Nombre de résidences principales construites avant 1949 (p)	Nombre	ND	19393.0	ND
ALPES-DE-HAUTE-PROVENCE	04	LO02Nombre de résidences principales construites de 1949 à 1974 (p)	Nombre	ND	19286.0	ND
ALPES-DE-HAUTE-PROVENCE	04	LO02Nombre de résidences principales construites de 1975 à 1989 (p)	Nombre	ND	16352.0	ND
ALPES-DE-HAUTE-PROVENCE	04	LO02Nombre de résidences principales construites de 1990 à 2004 (p)	Nombre	ND	11598.0	ND
ALPES-DE-HAUTE-PROVENCE	04	LO02Nombre de résidences principales construites avant 2005 (p)	Nombre	ND	66629.0	ND
ALPES-DE-HAUTE-PROVENCE	04	LO02Nombre de résidences principales construites avant 1946 (p)	Nombre	ND	ND	18187.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Nombre de résidences principales construites de 1946 à 1990 (p)	Nombre	ND	ND	37321.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Nombre de résidences principales construites de 1991 à 2009 (p)	Nombre	ND	ND	16111.0
ALPES-DE-HAUTE-PROVENCE	04	LO02Nombre de résidences principales construites avant 2010 (p)	Nombre	ND	ND	71619.0
ALPES-MARITIMES	06	LO02Nombre total de résidences principales (p)	Nombre	454982.0	492962.0	503022.0
ALPES-MARITIMES	06	LO02Résidences principales type maison (p)	Nombre	117763.0	131141.0	133713.0
ALPES-MARITIMES	06	LO02Résidences principales type appartement (p)	Nombre	326845.0	356944.0	364501.0
ALPES-MARITIMES	06	LO02Résidences principales autres types (foyer logements, habitations de fortune,) (p)	Nombre	10374.0	4876.0	4808.0
ALPES-MARITIMES	06	LO02Résidences principales de 1 pièce (p)	Nombre	49043.0	50806.0	54333.0
ALPES-MARITIMES	06	LO02Résidences principales de 2 pièces (p)	Nombre	106254.0	112144.0	118266.0
ALPES-MARITIMES	06	LO02Résidences principales de 3 pièces (p)	Nombre	152215.0	161410.0	161469.0
ALPES-MARITIMES	06	LO02Résidences principales de 4 pièces (p)	Nombre	92932.0	101953.0	103246.0
ALPES-MARITIMES	06	LO02Résidences principales de 5 pièces ou plus (p)	Nombre	54538.0	66648.0	65707.0
ALPES-MARITIMES	06	LO02Nombre de pièces des résidences principales (p)	Nombre	1395279.0	1545486.0	1559797.0
ALPES-MARITIMES	06	LO02Nombre de pièces des résidences principales type maison (p)	Nombre	480853.0	561311.0	573452.0
ALPES-MARITIMES	06	LO02Nombre de pièces des résidences principales type appartement (p)	Nombre	891095.0	975658.0	978123.0
ALPES-MARITIMES	06	LO02Nombre de résidences principales occupées par propriétaires (p)	Nombre	233396.0	270986.0	274549.0
ALPES-MARITIMES	06	LO02Nombre de résidences principales occupées par locataires (p)	Nombre	191776.0	199164.0	207499.0
ALPES-MARITIMES	06	LO02Nombre de résidences principales HLM louées vides (p)	Nombre	37605.0	39812.0	42910.0
ALPES-MARITIMES	06	LO02Nombre de résidences principales occupées gratuitement (p)	Nombre	29810.0	22811.0	20974.0
ALPES-MARITIMES	06	LO02Nombre de résidences principales construites avant 1949 (p)	Nombre	ND	109872.0	ND
ALPES-MARITIMES	06	LO02Nombre de résidences principales construites de 1949 à 1974 (p)	Nombre	ND	181498.0	ND
ALPES-MARITIMES	06	LO02Nombre de résidences principales construites de 1975 à 1989 (p)	Nombre	ND	129030.0	ND
ALPES-MARITIMES	06	LO02Nombre de résidences principales construites de 1990 à 2004 (p)	Nombre	ND	64425.0	ND
ALPES-MARITIMES	06	LO02Nombre de résidences principales construites avant 2005 (p)	Nombre	ND	484826.0	ND
ALPES-MARITIMES	06	LO02Nombre de résidences principales construites avant 1946 (p)	Nombre	ND	ND	99070.0
ALPES-MARITIMES	06	LO02Nombre de résidences principales construites de 1946 à 1990 (p)	Nombre	ND	ND	318132.0
ALPES-MARITIMES	06	LO02Nombre de résidences principales construites de 1991 à 2009 (p)	Nombre	ND	ND	77848.0
ALPES-MARITIMES	06	LO02Nombre de résidences principales construites avant 2010 (p)	Nombre	ND	ND	495050.0
ARDECHE	07	LO02Nombre total de résidences principales (p)	Nombre	116629.0	132163.0	139382.0
ARDECHE	07	LO02Résidences principales type maison (p)	Nombre	85452.0	95403.0	101970.0
ARDECHE	07	LO02Résidences principales type appartement (p)	Nombre	27143.0	35622.0	36435.0
ARDECHE	07	LO02Résidences principales autres types (foyer logements, habitations de fortune,) (p)	Nombre	4034.0	1138.0	976.0
ARDECHE	07	LO02Résidences principales de 1 pièce (p)	Nombre	3280.0	2792.0	2767.0
ARDECHE	07	LO02Résidences principales de 2 pièces (p)	Nombre	10210.0	10377.0	10901.0
ARDECHE	07	LO02Résidences principales de 3 pièces (p)	Nombre	24519.0	25551.0	26760.0
ARDECHE	07	LO02Résidences principales de 4 pièces (p)	Nombre	36165.0	39835.0	42348.0
ARDECHE	07	LO02Résidences principales de 5 pièces ou plus (p)	Nombre	42455.0	53608.0	56606.0
ARDECHE	07	LO02Nombre de pièces des résidences principales (p)	Nombre	480759.0	564073.0	595464.0
ARDECHE	07	LO02Nombre de pièces des résidences principales type maison (p)	Nombre	381027.0	445668.0	476709.0
ARDECHE	07	LO02Nombre de pièces des résidences principales type appartement (p)	Nombre	88772.0	116323.0	116887.0
ARDECHE	07	LO02Nombre de résidences principales occupées par propriétaires (p)	Nombre	73622.0	87257.0	92986.0
ARDECHE	07	LO02Nombre de résidences principales occupées par locataires (p)	Nombre	36516.0	40862.0	42660.0
ARDECHE	07	LO02Nombre de résidences principales HLM louées vides (p)	Nombre	9735.0	10253.0	10007.0
ARDECHE	07	LO02Nombre de résidences principales occupées gratuitement (p)	Nombre	6491.0	4044.0	3735.0
ARDECHE	07	LO02Nombre de résidences principales construites avant 1949 (p)	Nombre	ND	46137.0	ND
ARDECHE	07	LO02Nombre de résidences principales construites de 1949 à 1974 (p)	Nombre	ND	28534.0	ND
ARDECHE	07	LO02Nombre de résidences principales construites de 1975 à 1989 (p)	Nombre	ND	29694.0	ND
ARDECHE	07	LO02Nombre de résidences principales construites de 1990 à 2004 (p)	Nombre	ND	22843.0	ND
ARDECHE	07	LO02Nombre de résidences principales construites avant 2005 (p)	Nombre	ND	127208.0	ND
ARDECHE	07	LO02Nombre de résidences principales construites avant 1946 (p)	Nombre	ND	ND	42825.0
ARDECHE	07	LO02Nombre de résidences principales construites de 1946 à 1990 (p)	Nombre	ND	ND	59573.0
ARDECHE	07	LO02Nombre de résidences principales construites de 1991 à 2009 (p)	Nombre	ND	ND	32569.0
ARDECHE	07	LO02Nombre de résidences principales construites avant 2010 (p)	Nombre	ND	ND	134967.0
ARDENNES	08	LO02Nombre total de résidences principales (p)	Nombre	113320.0	119555.0	122265.0
ARDENNES	08	LO02Résidences principales type maison (p)	Nombre	77575.0	83560.0	86530.0
ARDENNES	08	LO02Résidences principales type appartement (p)	Nombre	32592.0	35403.0	34906.0
ARDENNES	08	LO02Résidences principales autres types (foyer logements, habitations de fortune,) (p)	Nombre	3153.0	592.0	828.0
ARDENNES	08	LO02Résidences principales de 1 pièce (p)	Nombre	2715.0	2397.0	2681.0
ARDENNES	08	LO02Résidences principales de 2 pièces (p)	Nombre	8810.0	8600.0	8201.0
ARDENNES	08	LO02Résidences principales de 3 pièces (p)	Nombre	21324.0	19982.0	20281.0
ARDENNES	08	LO02Résidences principales de 4 pièces (p)	Nombre	33049.0	32813.0	33275.0
ARDENNES	08	LO02Résidences principales de 5 pièces ou plus (p)	Nombre	47422.0	55763.0	57827.0
ARDENNES	08	LO02Nombre de pièces des résidences principales (p)	Nombre	487426.0	533186.0	547171.0
ARDENNES	08	LO02Nombre de pièces des résidences principales type maison (p)	Nombre	371756.0	416047.0	432028.0
ARDENNES	08	LO02Nombre de pièces des résidences principales type appartement (p)	Nombre	105077.0	115677.0	113556.0
ARDENNES	08	LO02Nombre de résidences principales occupées par propriétaires (p)	Nombre	64319.0	70521.0	72722.0
ARDENNES	08	LO02Nombre de résidences principales occupées par locataires (p)	Nombre	44687.0	46223.0	47174.0
ARDENNES	08	LO02Nombre de résidences principales HLM louées vides (p)	Nombre	22841.0	21781.0	22587.0
ARDENNES	08	LO02Nombre de résidences principales occupées gratuitement (p)	Nombre	4314.0	2812.0	2369.0
ARDENNES	08	LO02Nombre de résidences principales construites avant 1949 (p)	Nombre	ND	49378.0	ND
ARDENNES	08	LO02Nombre de résidences principales construites de 1949 à 1974 (p)	Nombre	ND	36608.0	ND
ARDENNES	08	LO02Nombre de résidences principales construites de 1975 à 1989 (p)	Nombre	ND	21060.0	ND
ARDENNES	08	LO02Nombre de résidences principales construites de 1990 à 2004 (p)	Nombre	ND	10155.0	ND
ARDENNES	08	LO02Nombre de résidences principales construites avant 2005 (p)	Nombre	ND	117201.0	ND
ARDENNES	08	LO02Nombre de résidences principales construites avant 1946 (p)	Nombre	ND	ND	45918.0
ARDENNES	08	LO02Nombre de résidences principales construites de 1946 à 1990 (p)	Nombre	ND	ND	59720.0
ARDENNES	08	LO02Nombre de résidences principales construites de 1991 à 2009 (p)	Nombre	ND	ND	14694.0
ARDENNES	08	LO02Nombre de résidences principales construites avant 2010 (p)	Nombre	ND	ND	120332.0
ARIEGE	09	LO02Nombre total de résidences principales (p)	Nombre	58331.0	65860.0	69442.0
ARIEGE	09	LO02Résidences principales type maison (p)	Nombre	47575.0	53073.0	56271.0
ARIEGE	09	LO02Résidences principales type appartement (p)	Nombre	8827.0	12253.0	12715.0
ARIEGE	09	LO02Résidences principales autres types (foyer logements, habitations de fortune,) (p)	Nombre	1929.0	534.0	457.0
ARIEGE	09	LO02Résidences principales de 1 pièce (p)	Nombre	1590.0	1294.0	1257.0
ARIEGE	09	LO02Résidences principales de 2 pièces (p)	Nombre	3823.0	4402.0	4871.0
ARIEGE	09	LO02Résidences principales de 3 pièces (p)	Nombre	10496.0	10747.0	11774.0
ARIEGE	09	LO02Résidences principales de 4 pièces (p)	Nombre	18234.0	18943.0	20517.0
ARIEGE	09	LO02Résidences principales de 5 pièces ou plus (p)	Nombre	24188.0	30474.0	31023.0
ARIEGE	09	LO02Nombre de pièces des résidences principales (p)	Nombre	252411.0	294388.0	307439.0
ARIEGE	09	LO02Nombre de pièces des résidences principales type maison (p)	Nombre	219381.0	255057.0	267698.0
ARIEGE	09	LO02Nombre de pièces des résidences principales type appartement (p)	Nombre	27592.0	38185.0	38706.0
ARIEGE	09	LO02Nombre de résidences principales occupées par propriétaires (p)	Nombre	37819.0	43748.0	46344.0
ARIEGE	09	LO02Nombre de résidences principales occupées par locataires (p)	Nombre	16989.0	19660.0	20828.0
ARIEGE	09	LO02Nombre de résidences principales HLM louées vides (p)	Nombre	2743.0	3129.0	3240.0
ARIEGE	09	LO02Nombre de résidences principales occupées gratuitement (p)	Nombre	3523.0	2452.0	2271.0
ARIEGE	09	LO02Nombre de résidences principales construites avant 1949 (p)	Nombre	ND	25128.0	ND
ARIEGE	09	LO02Nombre de résidences principales construites de 1949 à 1974 (p)	Nombre	ND	15889.0	ND
ARIEGE	09	LO02Nombre de résidences principales construites de 1975 à 1989 (p)	Nombre	ND	13023.0	ND
ARIEGE	09	LO02Nombre de résidences principales construites de 1990 à 2004 (p)	Nombre	ND	9163.0	ND
ARIEGE	09	LO02Nombre de résidences principales construites avant 2005 (p)	Nombre	ND	63203.0	ND
ARIEGE	09	LO02Nombre de résidences principales construites avant 1946 (p)	Nombre	ND	ND	22775.0
ARIEGE	09	LO02Nombre de résidences principales construites de 1946 à 1990 (p)	Nombre	ND	ND	30703.0
ARIEGE	09	LO02Nombre de résidences principales construites de 1991 à 2009 (p)	Nombre	ND	ND	14049.0
ARIEGE	09	LO02Nombre de résidences principales construites avant 2010 (p)	Nombre	ND	ND	67526.0
AUBE	10	LO02Nombre total de résidences principales (p)	Nombre	119259.0	130772.0	135644.0
AUBE	10	LO02Résidences principales type maison (p)	Nombre	76507.0	85391.0	90425.0
AUBE	10	LO02Résidences principales type appartement (p)	Nombre	39776.0	44201.0	44457.0
AUBE	10	LO02Résidences principales autres types (foyer logements, habitations de fortune,) (p)	Nombre	2976.0	1180.0	762.0
AUBE	10	LO02Résidences principales de 1 pièce (p)	Nombre	5022.0	5013.0	5012.0
AUBE	10	LO02Résidences principales de 2 pièces (p)	Nombre	13284.0	13917.0	13780.0
AUBE	10	LO02Résidences principales de 3 pièces (p)	Nombre	26996.0	27038.0	28120.0
AUBE	10	LO02Résidences principales de 4 pièces (p)	Nombre	35342.0	36084.0	37411.0
AUBE	10	LO02Résidences principales de 5 pièces ou plus (p)	Nombre	38615.0	48720.0	51321.0
AUBE	10	LO02Nombre de pièces des résidences principales (p)	Nombre	473157.0	539487.0	563178.0
AUBE	10	LO02Nombre de pièces des résidences principales type maison (p)	Nombre	345015.0	405231.0	430375.0
AUBE	10	LO02Nombre de pièces des résidences principales type appartement (p)	Nombre	119731.0	132310.0	131418.0
AUBE	10	LO02Nombre de résidences principales occupées par propriétaires (p)	Nombre	67548.0	75811.0	80368.0
AUBE	10	LO02Nombre de résidences principales occupées par locataires (p)	Nombre	46720.0	51872.0	52633.0
AUBE	10	LO02Nombre de résidences principales HLM louées vides (p)	Nombre	26570.0	27202.0	26579.0
AUBE	10	LO02Nombre de résidences principales occupées gratuitement (p)	Nombre	4991.0	3088.0	2643.0
AUBE	10	LO02Nombre de résidences principales construites avant 1949 (p)	Nombre	ND	43474.0	ND
AUBE	10	LO02Nombre de résidences principales construites de 1949 à 1974 (p)	Nombre	ND	40274.0	ND
AUBE	10	LO02Nombre de résidences principales construites de 1975 à 1989 (p)	Nombre	ND	28188.0	ND
AUBE	10	LO02Nombre de résidences principales construites de 1990 à 2004 (p)	Nombre	ND	15279.0	ND
AUBE	10	LO02Nombre de résidences principales construites avant 2005 (p)	Nombre	ND	127214.0	ND
AUBE	10	LO02Nombre de résidences principales construites avant 1946 (p)	Nombre	ND	ND	39833.0
AUBE	10	LO02Nombre de résidences principales construites de 1946 à 1990 (p)	Nombre	ND	ND	70258.0
AUBE	10	LO02Nombre de résidences principales construites de 1991 à 2009 (p)	Nombre	ND	ND	22160.0
AUBE	10	LO02Nombre de résidences principales construites avant 2010 (p)	Nombre	ND	ND	132251.0
AUDE	11	LO02Nombre total de résidences principales (p)	Nombre	130386.0	152331.0	162615.0
AUDE	11	LO02Résidences principales type maison (p)	Nombre	100057.0	114681.0	122873.0
AUDE	11	LO02Résidences principales type appartement (p)	Nombre	26855.0	36431.0	38729.0
AUDE	11	LO02Résidences principales autres types (foyer logements, habitations de fortune,) (p)	Nombre	3474.0	1219.0	1013.0
AUDE	11	LO02Résidences principales de 1 pièce (p)	Nombre	3256.0	4024.0	4013.0
AUDE	11	LO02Résidences principales de 2 pièces (p)	Nombre	10170.0	12731.0	14564.0
AUDE	11	LO02Résidences principales de 3 pièces (p)	Nombre	25122.0	27929.0	30381.0
AUDE	11	LO02Résidences principales de 4 pièces (p)	Nombre	40782.0	45547.0	49370.0
AUDE	11	LO02Résidences principales de 5 pièces ou plus (p)	Nombre	51056.0	62101.0	64288.0
AUDE	11	LO02Nombre de pièces des résidences principales (p)	Nombre	552209.0	650767.0	687296.0
AUDE	11	LO02Nombre de pièces des résidences principales type maison (p)	Nombre	458242.0	537939.0	571405.0
AUDE	11	LO02Nombre de pièces des résidences principales type appartement (p)	Nombre	82675.0	110250.0	113666.0
AUDE	11	LO02Nombre de résidences principales occupées par propriétaires (p)	Nombre	81305.0	96437.0	102693.0
AUDE	11	LO02Nombre de résidences principales occupées par locataires (p)	Nombre	41169.0	50480.0	54955.0
AUDE	11	LO02Nombre de résidences principales HLM louées vides (p)	Nombre	11999.0	12527.0	12899.0
AUDE	11	LO02Nombre de résidences principales occupées gratuitement (p)	Nombre	7912.0	5413.0	4966.0
AUDE	11	LO02Nombre de résidences principales construites avant 1949 (p)	Nombre	ND	51529.0	ND
AUDE	11	LO02Nombre de résidences principales construites de 1949 à 1974 (p)	Nombre	ND	32056.0	ND
AUDE	11	LO02Nombre de résidences principales construites de 1975 à 1989 (p)	Nombre	ND	35107.0	ND
AUDE	11	LO02Nombre de résidences principales construites de 1990 à 2004 (p)	Nombre	ND	26429.0	ND
AUDE	11	LO02Nombre de résidences principales construites avant 2005 (p)	Nombre	ND	145122.0	ND
AUDE	11	LO02Nombre de résidences principales construites avant 1946 (p)	Nombre	ND	ND	47270.0
AUDE	11	LO02Nombre de résidences principales construites de 1946 à 1990 (p)	Nombre	ND	ND	69986.0
AUDE	11	LO02Nombre de résidences principales construites de 1991 à 2009 (p)	Nombre	ND	ND	39726.0
AUDE	11	LO02Nombre de résidences principales construites avant 2010 (p)	Nombre	ND	ND	156982.0
AVEYRON	12	LO02Nombre total de résidences principales (p)	Nombre	110043.0	121544.0	125545.0
AVEYRON	12	LO02Résidences principales type maison (p)	Nombre	77764.0	86418.0	89750.0
AVEYRON	12	LO02Résidences principales type appartement (p)	Nombre	28738.0	34212.0	35099.0
AVEYRON	12	LO02Résidences principales autres types (foyer logements, habitations de fortune,) (p)	Nombre	3541.0	914.0	696.0
AVEYRON	12	LO02Résidences principales de 1 pièce (p)	Nombre	3593.0	3270.0	3312.0
AVEYRON	12	LO02Résidences principales de 2 pièces (p)	Nombre	10432.0	10913.0	11367.0
AVEYRON	12	LO02Résidences principales de 3 pièces (p)	Nombre	20908.0	21803.0	22317.0
AVEYRON	12	LO02Résidences principales de 4 pièces (p)	Nombre	31027.0	33098.0	34166.0
AVEYRON	12	LO02Résidences principales de 5 pièces ou plus (p)	Nombre	44083.0	52461.0	54383.0
AVEYRON	12	LO02Nombre de pièces des résidences principales (p)	Nombre	466738.0	529359.0	546170.0
AVEYRON	12	LO02Nombre de pièces des résidences principales type maison (p)	Nombre	365727.0	421327.0	437218.0
AVEYRON	12	LO02Nombre de pièces des résidences principales type appartement (p)	Nombre	90264.0	106439.0	107544.0
AVEYRON	12	LO02Nombre de résidences principales occupées par propriétaires (p)	Nombre	72198.0	83770.0	87278.0
AVEYRON	12	LO02Nombre de résidences principales occupées par locataires (p)	Nombre	30438.0	34006.0	34941.0
AVEYRON	12	LO02Nombre de résidences principales HLM louées vides (p)	Nombre	6703.0	7240.0	7238.0
AVEYRON	12	LO02Nombre de résidences principales occupées gratuitement (p)	Nombre	7407.0	3769.0	3326.0
