prs_nat;l_prs_nat
1322;ACTE D'OBSTETRIQUE CCAM
1323;ACTE D'ANESTHESIE CCAM
1324;ACTE D'ECHOGRAPHIE CCAM
1331;ACTES DE RADIOLOGIE
1332;ACTES DE RADIOLOGIE NUCLEAIRE
1333;MAJORATION POUR PRODUIT RADIOPHARMACEUTIQUE
1334;DEPISTAGE CANCER DU SEIN
1335;ACTE DE RADIOLOGIE MAMMOGRAPHIE
1336;ACTE DE RADIOLOGIE MAMMOGRAPHIE DEPISTAGE
1341;ACTES D ANATOMO-CYTO-PATHOLOGIE/MEDECINS
1342;MAJORATION ANATOMO-CYTO-PATHOLOGIE
1345;MAJORATION TRANSITOIRE
1351;ACTE D'IMAGERIE (hors ECHOGRAPHIE) CCAM
1352;ACTES TECHNIQUES MEDICAUX (hors IMAGERIE) CCAM
1361;VIDEOCAPSULE
1411;ACTES EN SCM (ET SPA POUR LA CRPCEN)
1421;ACTES DE PROTHESE DENTAIRE PRATIQUES PAR LE MEDECIN
1422;TRAITEMENTS D ORTHODONTIE PRATIQUES PAR LE MEDECIN (ET EOS POUR LA CRPCEN)
1423;ACTES DE PROTHESE DENTAIRE PRATIQUES PAR LE CHIRURGIEN-DENTISTE
1424;TRAITEMENTS D ORTHODONTIE PRATIQUES PAR LE CHIRURGIEN-DENTISTE (ET ETO POUR LA CRPCEN)
1425;COMPLEMENT AT 150% DENTAIRE
1431;ACTES EN D (ET OCC POUR LA CRPCEN)
1432;ACTES EN DC
1433;ACTES EN SC (ET SCA POUR LA CRPCEN)
1434;PREVENTION BUCCO-DENTAIRE: CONSULTATION - MATER
1435;PREVENTION BUCCO-DENTAIRE: RADIO DEUX CLICHES-MATER
1436;PREVENTION BUCCO-DENTAIRE: RADIO QUATRE CLICHES-MATER
1437;Majoration specifique PDS Clinique Dentiste
1451;SOINS DENTAIRES
1452;PROTHESE AMOVIBLE DEFINITIVE RESINE
1453;PROPHYLAXIE BUCCO DENTAIRE CCAM
1461;ACTES DIVERS PROTHESE DENTAIRE CCAM
1462;PROTHESE FIXE METALLIQUE
1463;PROTHESE DENTAIRE FIXE ESTHETIQUE CCAM
1464;PROTHESE DENTAIRE AMOVIBLE CCAM
1465;IMPLANTOLOGIE - CCAM
1466;TRAITEMENT ORTHOPEDIE DENTO FACIALE CCAM
1470;ENDODONTIE
1471;INLAY-ONLAY
1472;PARODONTOLOGIE
1473;INLAY-CORE
1474;PROTHESE AMOVIBLE DEFINITIVE METALLIQUE
1475;PROTHESE DENTAIRE PROVISOIRE
1476;PROTHESE FIXE CERAMIQUE
1477;REPARATION SUR PROTHESE
1511;FORFAIT D ACCOUCHEMENT SIMPLE DES SAGES-FEMMES (FORFAIT N91)
1512;FORFAIT D ACCOUCHEMENT MULTIPLE DES SAGES-FEMMES (FORFAIT N92)
1521;MAJORATION POUR GARDE
1522;MAJORATION ASTREINTE
1523;Permanence Remuneration demi-journee Chirurgien-dentiste
1601;CONTRAT PRATIQUE VERSEMENT UNIQUEMENT
1602;FORFAIT CONTRAT DE BONNES PRATIQUES
1603;FORFAIT CONTRAT DE BONNES PRATIQUES CP1
1604;FORFAIT CONTRAT DE BONNES PRATIQUES CP2
1605;FORFAIT CONTRAT DE BONNES PRATIQUES CP3
1606;FORFAIT CONTRAT DE BONNES PRATIQUES
1607;FORFAIT CONTRAT DE SANTE PUBLIQUE INFIRMIER
1608;FORFAIT CONTRAT DE SANTE PUBLIQUE BIOLOGISTES
1609;CONTRAT DE BONNES PRATIQUES ZONE RURAL
1611;CONTRAT DE BONNES PRATIQUES ZONE MONTAGNE
1612;CONTRAT DE BONNES PRATIQUES ZONE URBAINE
1613;CONTRAT DE BONNES PRATIQUES ZONE FRANCHE URBAINE
1614;CONTRAT DE BONNES PRATIQUES TRANSPORTEURS 2006
1615;CONTRAT DE BONNES PRATIQUES TRANSPORTEURS 2007
1616;CONTRAT DE BONNES PRATIQUES TRANSPORTEURS 2008
1617;REDEVANCE CHEF DE CLINIQUE
1618;COMPLEMENT DE REMUNERATION CHEF DE CLINIQUE
1619;CONTRAT SANTE SOLIDARITE
1621;CONTRAT D'AMELIORATION DE L'ORGANISATION DES SOINS - TRANSPORTS
1622;CONTRAT D'AMELIORATION DE L'ORGANISATION DES SOINS - PHARMACIE/LPP
1623;REVERSEMENTS CONTRAT D'AMELIORATION DE L'ORGANISATION DES SOINS TRANSPORTS
1624;REVERSEMENTS CONTRAT D'AMELIORATION DE L'ORGANISATION DES SOINS - PHARMACIE / LPP
1625;PENALITES CONTRAT D'AMELIORATION DE L'ORGANISATION DES SOINS - TRANSPORT
1626;PENALITES CONTRAT D'AMELIORATION DE L'ORGANISATION DES SOINS - PHARMACIE / LPP
1627;CONTRAT INCITATIF CHIRURGIEN-DENTISTE
1628;DEMO. AIDE FORFAITAIRE GROUPE
1629;DEMO. AIDE FORFAITAIRE POLE SANTE
1630;DEMO. ACTIVITE GROUPE
1631;DEMO. ACTIVITE POLE SANTE
1632;SST AIDE ACTIVITE
1633;SST FRAIS DEPLACEMENT
1634;CONTESTATION POUR AIDE FORFAITAIRE POUR LES ADHERENTS A L'OPTION DEMOGRAPHIE DANS UN GROUPE
1635;CONTESTATION POUR AIDE FORFAITAIRE POUR LES ADHERENTS A L'OPTION DEMOGRAPHIE DANS UN POLE DE SANTE
1636;CONTESTATION POUR AIDE A L'ACTIVITE POUR LES ADHERENTS A L'OPTION DEMOGRAPHIE DANS UN GROUPE
1637;CONTESTATION POUR AIDE A L'ACTIVITE POUR LES ADHERENTS A L'OPTION DEMOGRAPHIE DANS UN POLE DE SANTE
1638;CONTESTATION POUR AIDE A L'ACTIVITE POUR LES ADHERENTS A L'OPTION SST
1639;CONTESTATION POUR FRAIS DE DEPLACEMENT POUR LES ADHERENTS A L'OPTION SST
1701;CDS MEDICAL OPTANT FORF DEBUT
1702;CDS MEDICAL OPTANT FORF FIN
1703;CDS MEDICAL OPTANT FORFTACITE
1704;CDS DENTAIRE OPTANT FORF INITIAL
1705;CDS DENTAIRE OPTANT FORF SUIVI
1706;CDS DENTAIRE OPTANT FORF FINAL
1707;CDS INFIRMIER OPTANT FORF DEBUT
1708;CDS INFIRMIER OPTANT FORF FIN
1711;FORFAIT MEDECIN REFERENT DEBUT DE CONTRAT
1712;FORFAIT MEDECIN REFERENT FIN DE CONTRAT
1713;FORFAIT MEDECIN REFERENT INFORMATISE
1715;FORFAIT MENSUEL COORDONNATEUR
1716;FORFAIT MENSUEL PARTICIPATION
1717;FORFAIT MENSUEL SOINS
1718;FORFAIT D'ADHESION ZONE DEFICITAIRE
1721;FORFAIT PROFESSIONNEL (F01) FILIERES ET RESEAUX
1722;FORFAIT PROFESSIONNEL (F02) FILIERES ET RESEAUX
1723;FORFAIT PROFESSIONNEL (F03) FILIERES ET RESEAUX
1724;FORFAIT PROFESSIONNEL (F04) FILIERES ET RESEAUX
1725;FORFAIT PROFESSIONNEL (F05) FILIERES ET RESEAUX
1726;FORFAIT PROFESSIONNEL (F06) FILIERES ET RESEAUX
1727;FORFAIT PROFESSIONNEL (F07) FILIERES ET RESEAUX
1728;FORFAIT PROFESSIONNEL (F08) FILIERES ET RESEAUX
1729;FORFAIT PROFESSIONNEL (F09) FILIERES ET RESEAUX
1731;FORFAIT PROFESSIONNEL (F10) FILIERES ET RESEAUX
1732;FORFAIT PROFESSIONNEL (F11) FILIERES ET RESEAUX
1733;FORFAIT PROFESSIONNEL (F12) FILIERES ET RESEAUX
1734;FORFAIT PROFESSIONNEL (F13) FILIERES ET RESEAUX
1735;FORFAIT PROFESSIONNEL (F14) FILIERES ET RESEAUX
1736;FORFAIT PROFESSIONNEL (F15) FILIERES ET RESEAUX
1741;FORFAIT CONSULTATION (FC0) FILIERES ET RESEAUX
1742;FORFAIT CONSULTATION (FC1) FILIERES ET RESEAUX
1743;FORFAIT CONSULTATION (FC2) FILIERES ET RESEAUX
1744;FORFAIT CONSULTATION (FC3) FILIERES ET RESEAUX
1745;FORFAIT CONSULTATION (FC4) FILIERES ET RESEAUX
1746;FORFAIT CONSULTATION (FC5) FILIERES ET RESEAUX
1747;FORFAIT CONSULTATION (FC6) FILIERES ET RESEAUX
1748;FORFAIT CONSULTATION (FC7) FILIERES ET RESEAUX
1749;FORFAIT CONSULTATION (FC8) FILIERES ET RESEAUX
1751;FORFAIT CONSULTATION (FC9) FILIERES ET RESEAUX
1761;FORFAIT FORMATION (FF0) FILIERES ET RESEAUX
1762;FORFAIT FORMATION (FF1) FILIERES ET RESEAUX
1763;FORFAIT FORMATION (FF2) FILIERES ET RESEAUX
1764;FORFAIT FORMATION (FF3) FILIERES ET RESEAUX
1765;FORFAIT FORMATION (FF4) FILIERES ET RESEAUX
1766;FORFAIT FORMATION (FF5) FILIERES ET RESEAUX
1767;FORFAIT FORMATION (FF6) FILIERES ET RESEAUX
1768;FORFAIT FORMATION (FF7) FILIERES ET RESEAUX
1769;FORFAIT FORMATION (FF8) FILIERES ET RESEAUX
1771;FORFAIT FORMATION (FF9) FILIERES ET RESEAUX
1781;FORFAIT PREVENTION/DEPISTAGE (FP0) FILIERES ET RESEAUX
1782;FORFAIT PREVENTION/DEPISTAGE (FP1) FILIERES ET RESEAUX
1783;FORFAIT PREVENTION/DEPISTAGE (FP2) FILIERES ET RESEAUX
1784;FORFAIT PREVENTION/DEPISTAGE (FP3) FILIERES ET RESEAUX
1785;FORFAIT PREVENTION/DEPISTAGE (FP4) FILIERES ET RESEAUX
1786;FORFAIT PREVENTION/DEPISTAGE (FP5) FILIERES ET RESEAUX
1787;FORFAIT PREVENTION/DEPISTAGE (FP6) FILIERES ET RESEAUX
1788;FORFAIT PREVENTION/DEPISTAGE (FP7) FILIERES ET RESEAUX
1789;FORFAIT PREVENTION/DEPISTAGE (FP8) FILIERES ET RESEAUX
1791;FORFAIT PREVENTION/DEPISTAGE (FP9) FILIERES ET RESEAUX
1811;IK PLAINE
1812;IK MONTAGNE
1813;IK PIED SKI
1814;FRAIS DE DEPLACEMENT VACATION
1821;ID PARIS LYON MARSEILLE, +100.000 HA, -100.000 HA
1841;INDEMNITES FORFAITAIRES DE DEPLACEMENT
1842;INDEMNITES FORFAITAIRES DE DEPLACEMENT DES AUXILIAIRES MEDICAUX ET ASSIMILES
1843;INDEMNITES FORFAITAIRES DE DEPLACEMENT MK ORTHOPEDIQUE ET RHUMATOLOGIQUE
1844;INDEMNITES FORFAITAIRES DE DEPLACEMENT MK RHUMATISMALE
1845;INDEMNITES FORFAITAIRES DE DEPLACEMENT MK NEUROLOGIQUE
1846;INDEMNITES FORFAITAIRES DE DEPLACEMENT MK PNEUMOLOGIE
1847;INDEMNITES FORFAITAIRES DE DEPLACEMENT DE SORTIE
1910;Plan personnalise de sante
1911;ACTES DES SAGES-FEMMES
1912;HONORAIRES NON VENTILABLES INDIVIDUALISES
1913;MAJORATION MILIEU DE NUIT
1914;FORFAIT PEDIATRIQUE
1915;FORFAIT ASTREINTE PROF
1916;REMUNERATION POUR GARDE ETS PRIVES
1917;REMUNERATION POUR ASTREINTE ETS PRIVES
1918;MAJORATION D'URGENCE
1919;DEPENSES DE MEDECINE FORFAITAIRE (OMNIPRATICIENS ET AUXILIAIRES MEDICAUX)
1920;CONTRAT DEMOGRAPHIQUE SAGE-FEMME
1921;TEST DE DIAGNOSTIC RAPIDE
1922;CONSULTATION
1923;EXAMEN DE SUIVI POST NATAL
1924;REMUNERATION VACCINATION GRIPPE A MEDECIN
1925;REMUNERATION VACCINATION GRIPPE A PAR MEDECIN RETRAITE ET SALARIES HORS OBLIGATIONS
1926;ACTE DE VACCINATION GRIPPE A/H1N1
1931;MAJORATION NOURRISSON PEDIATRE
1932;MAJORATION NOURRISSON GENERALISTE
1933;MAJORATION CONSULTATION REGULEE DE NUIT
1934;MAJORATION CONSULTATION REGULEE MILIEU DE NUIT
1935;MAJORATION CONSULTATION REGULEE DIMANCHE, JOURS FERIES ET ASSIMILES
1936;MAJORATION VISITE REGULEE DE NUIT
1937;MAJORATION VISITE REGULEE MILIEU DE NUIT
1938;MAJORATION VISITE REGULEE DE DIMANCHE, JOURS FERIES ET ASSIMILES
1941;MAJORATION CONSULTATION REGULEE SAMEDI APRES MIDI
1942;MAJORATION VISITE REGULEE SAMEDI APRES MIDI
1951;PARTICIPATION FORFAITAIRE HORS TIERS PAYANT
1952;PARTICIPATION FORFAITAIRE TIERS PAYANT
1954;PARTICIPATION ASSURE CONSULTATIONS ET SOINS EXTERNES (CMU + AME)
1955;PARTICIPATION ASSURE CONSULTATIONS ET SOINS EXTERNES (REGIME LOCAL)
1956;PARTICIPATION ASSURE EN AMBULATOIRE
1960;SUPPLEMENT DEROGATOIRE SMG SUR ACTE PROFESSIONNEL NON REMBOURSABLE (CNMSS)
1961;SUPPLEMENT DEROGATOIRE SMG SUR ACTE PROFESSIONNEL REMBOURSABLE (CNMSS)
1971;FRANCHISE HORS TIERS PAYANT SUR MEDICAMENT
1972;FRANCHISE TIERS PAYANT SUR MEDICAMENT
1973;FRANCHISE HORS TIERS PAYANT SUR TRANSPORT
1974;FRANCHISE TIERS PAYANT SUR TRANSPORT
1975;FRANCHISE HORS TIERS PAYANT ACTE D'AUXILIAIRE MEDICAUX
1976;FRANCHISE TIERS PAYANT ACTE D'AUXILIAIRE MEDICAUX
1977;PARTICIPATION ASSURE HORS TIERS PAYANT TRANSMISE SANS ACTE DE REFERENCE OU TYPE DE FRANCHISES
1978;PARTICIPATION ASSURE EN TIERS PAYANT TRANSMISE SANS ACTE DE REFERENCE OU TYPE DE FRANCHISES
1981;FORFAIT IVG HONORAIRES DE VILLE
1991;REMUNERATION REGULATION
1992;PERMANENCE REMUNERATION DE NUIT
1993;PERMANENCE REMUNERATION MILIEU DE NUIT
1994;PERMANENCE REMUNERATION DIMANCHE ET FERIE
1995;PERMANENCE REMUNERATION TOTAL
1996;PERMANENCE REMUNERATION SAMEDI MATIN
1997;PERMANENCE REMUNERATION SAMEDI APRES MIDI
2111;FRAIS D HEBERGEMENT ET ENVIRONNEMENT EN GHS
2112;FRAIS DE SEJOUR SUPPLEMENTAIRE AU GHS
2113;GROUPE HOMOGENE DE TARIFS
2114;SUPPLEMENT SOINS PARTICULIEREMENT COUTEUX (ARRETE DU 29/06/1978)
2115;SUPPLEMENT SOINS CONTINUS
2116;SUPPLEMENT NEONATOLOGIE 1
2117;SUPPLEMENT NEONATOLOGIE 2
2118;SUPPLEMENT NEONATOLOGIE 3
2120;DIFFERENTIEL TARIFAIRE CLINIQUE
2121;HEMODIALYSE EN CENTRE OU EN UNITE DE DIALYSE MEDICALISEE
2122;AUTODIALYSE SIMPLE OU ASSISTEE
2123;ENTRAINEMENT A L HEMODIALYSE A DOMICILE ET A L AUTODIALYSE
2124;ENTRAINEMENT A LA DPA
2125;ENTRAINEMENT A LA DPCA
2126;HEMODIALYSE A DOMICILE
2127;DIALYSE PERITONEALE AUTOMATISEE (DPA)
2128;DIALYSE PERITONEALE CONTINUE AMBULATOIRE (DPCA)
2129;FORFAIT D'HEMODIALYSE EN CENTRE
2131;FORFAIT D HEMODIALYSE EN CENTRE POUR ENFANT
2132;FORFAIT D HEMODIALYSE EN UNITE DE DIALYSE MEDICALISEE
2133;DIALYSE TIERCE PERSONNE
2134;FORFAIT D AUTODIALYSE SIMPLE
2135;FORFAIT D AUTODIALYSE ASSISTEE
2136;FORFAIT D HEMODIALYSE A DOMICILE
2137;FORFAIT DE DIALYSE PERITONEALE AUTOMATISEE (DPA)
2138;FORFAIT DE DIALYSE PERITONEALE CONTINUE AMBULATOIRE (DPCA)
2139;FORFAIT D ENTRAINEMENT A L HEMODIALYSE A DOMICILE ET AUTODIALYSE
2140;FORFAIT D ENTRAINEMENT A LA DIALYSE PERITONEALE AUTOMATISEE
2141;FRAIS DE CHAMBRE PARTICULIERE POUR CONVENANCE PERSONNELLE
2142;FORFAIT D ENTRAINEMENT A DIALYSE PERITONEALE CONTINUE AMBULATOIRE
2143;FF D ENTRAINEMENT A LA DIALYSE PERITONEALE AUTOMATISEE A DOMICILE
2144;FF D ENTRAINEMENT A LA DIALYSE PERITONEALE CONTINUE AMBULATOIRE A DOMICILE
2145;FORFAIT DE DIALYSE PERITONEALE AUTOMATISE POUR HOSPITALISATION DE 3 A 6 JOURS
2146;FORFAIT DE DIALYSE PERITONEALE CONTINUE AMBULATOIRE POUR HOSPITALISATION DE 3 A 6 JOURS
2147;FORFAIT D'ENTRAINEMENT A L'HEMODIALYSE EN UNITE DE DIALYSE MEDICALISEE
2150;VIDEOCAPSULE
2151;SUPPLEMENT REANIMATION
2152;SUPPLEMENT SURVEILLANCE CONTINUE
2153;FORFAIT SOINS INTENSIFS
2154;REANIMATION PEDIATRIQUE
2155;FORFAIT ENVIRONNEMENT HOSPITALIER 1
2156;FORFAIT ENVIRONNEMENT HOSPITALIER 2
2157;FORFAIT ENVIRONNEMENT HOSPITALIER 3
2158;FORFAIT ENVIRONNEMENT HOSPITALIER 4
2159;FORFAIT DE SECURITE DERMATOLOGIQUE
2161;FORFAIT MISSION D INTERET GENERAL D AIDE A LA CONTRACTUALISATION
2162;FORFAIT HAUTE TECHNICITE
2163;SUPPLEMENT JOURNALIER DIALYSE PERITONEALE
2164;ADMINISTRATION DE PRODUITS ET PRESTATIONS EN ENVIRONNEMENT HOSPITALIER
2170;FIR ETS PRIVES
2171;DIFFERENTIEL TARIFAIRE AME
2172;DIFFERENTIEL TARIFAIRE MIGRANTS
2181;PRELEVEMENT D ORGANE 1
2182;PRELEVEMENT D ORGANE 2
2183;PRELEVEMENT D ORGANE 3
2184;COORDINATION PRELEVEMENT D ORGANES
2185;PRELEVEMENT D ORGANE 4
2186;PRELEVEMENT D'ORGANE 5
2187;PRELEVEMENT D'ORGANE 6
2188;PRELEVEMENT D'ORGANE 7
2189;PRELEVEMENT D'ORGANE 8
2190;PRELEVEMENT D'ORGANE 9
2191;PRELEVEMENT D'ORGANE
2195;SUPPLEMENT ANTEPARTUM
2196;SUPPLEMENT RADIOTHERAPIE PEDIATRIQUE
2201;BUDGET GLOBAL
2202;MEDICALISATION DES PERSONNES AGEES
2203;SSAD : SERVICE DE SOINS A DOMICILE
2204;CAMSP: CENTRE ACTION MEDICO-SOCIALE PRECOCE
2205;CCAA : CENTRE DE CURE AMBULATOIRE EN ALCOOLOGIE
2206;VIH
2211;FRAIS DE SEJOUR
2212;MAJORATION PMSI
2213;FRAIS DE SEJOUR IME
2214;SUPPLEMENT DEROGATOIRE SMG SUR PRESTATION SEJOUR NON REMBOURSABLE (CNMSS)
2215;SUPPLEMENT DEROGATOIRE SMG SUR PRESTATION SEJOUR REMBOURSABLE (CNMSS)
2221;SUPPLEMENT CHAMBRE PARTICULIERE
2222;SUPPLEMENT POUR SURVEILLANCE DU MALADE
2223;FRAIS D HOSPITALISATION DU NOUVEAU-NE DONNANT LIEU A FACTURATION EN SUPPLEMENT DE L HOSPITALISATION DE LA MERE EN MAISON DE REPOS
2224;SUPPLEMENT POUR CHAMBRE CHAUDE
2225;SUPPLEMENT POUR INCUBATEUR
2226;SUPPLEMENT POUR CHAMBRE PLOMBEE
2227;SUPPLEMENT POUR ALIMENTATION PARENTERALE
2229;FORFAIT PRISE EN CHARGE DU NOUVEAU NE
2231;FORFAIT PHARMACEUTIQUE
2232;FORFAIT TRANSPLANTATION D ORGANE
2234;FORFAIT D ENTREE
2235;FORFAIT D ACTIVITE NON PROGRAMMEE
2236;FORFAIT CONSOMMABLE CARDIOLOGIE
2237;PART COMPLEMENTAIRE AIDE MEDICALE ETAT (REGULARISATION CMU COMPLEMENTAIRE)
2238;FORFAIT D ACCUEIL ET DE TRAITEMENT DES URGENCES
2239;FORFAIT ANNUEL D URGENCE
2240;TARIF JOURNALIER COMPLEMENTAIRE
2241;FRAIS DE SALLE D OPERATION
2242;FRAIS D ANESTHESIE ET REANIMATION
2243;FRAIS D ENVIRONNEMENT
2245;FRAIS DE SALLE D ACCOUCHEMENT
2246;FRAIS DE SALLE D ACCOUCHEMENT MULTIPLE
2247;FORFAIT PSYCHIATRIE DE SECURITE - HOSPITALISATION AVEC HEBERGEMENT
2250;FORFAIT JOURNALIER AIDE MEDICALE (REGULARISATION CMU COMPLEMENTAIRE)
2251;FORFAIT JOURNALIER
2252;FORFAIT JOURNALIER DE SORTIE
2257;FJ TRANSPLANTATION ORGANES
2258;FORFAIT DE SOINS JOURNALIER
2259;SAISIE MANUELLE DES SEJOURS POUR LEQUELS LE FJ EST SUPERIEUR AU TM
2261;FORFAIT ACCUEIL DU PATIENT N 1
2262;FORFAIT ACCUEIL DU PATIENT N 2
2271;FORFAIT HPT GROUPE 1
2272;FORFAIT HPT GROUPE 1.2
2273;FORFAIT HPT 15 %
2274;FORFAIT HPT GROUPE 2 + FAS1
2275;FORFAIT HPT GROUPE 2 + FAS2
2282;PARTICIPATION ASSURE TRANSITOIRE
2283;PARTICIPATION ASSURE HOSPITALISATION PUBLIQUE (CMU + AME)
2284;PARTICIPATION ASSURE HOSPITALISATION PUBLIQUE (REGIME LOCAL)
2285;PARTICIPATION ASSURE SUR SEJOUR
2311;FORFAIT DE SEANCE DE SOINS SANS OXYGENE
2312;FORFAIT POUR INSUFFISANCE RESPIRATOIRE AVEC OXYGENE EXTRACTEUR
2313;FORFAIT POUR INSUFFISANCE RESPIRATOIRE AVEC OXYGENE BOUTEILLE
2314;FORFAIT POUR INSUFFISANCE RESPIRATOIRE AVEC OXYGENE LIQUIDE
2315;APPAREILLAGE VENTILATION PRESSION POSITIVE CONTINUE
2321;FORFAIT - LONG SEJOUR PERSONNES AGEES
2331;RADIUMTHERAPIE ET CHIMIOTHERAPIE
2332;READAPTATION FONCTIONNELLE
2333;REEDUCATION PROFESSIONNELLE
2334;SEANCE D HEMODIALYSE
2335;FORFAIT DE PANSEMENT
2336;FORFAIT POUR CONSULTATION EN CENTRE MEDICO-PSYCHO PEDAGOGIQUE
2337;SEANCE DE DIAGNOSTIC
2338;FORFAIT PETIT MATERIEL
2339;AUTRES FORFAITS DIVERS (Y COMPRIS NUTRITION ENTERALE A DOMICILE)
2341;SUPPLEMENT AU FORFAIT CHIMIOTHERAPIE
2342;FORFAIT POUR GARDE DE DEBUT DE NUIT EN ETABLIS. PRIVE
2343;FORFAIT POUR GARDE DE NUIT OU SAMEDI APRES MIDI EN ETABLIS. PRIVE
2344;FORFAIT DE GARDE NUIT ET FERIE EN ETABLIS. PRIVE
2345;FORFAIT POUR ASTREINTE DE DEBUT DE NUIT EN ETABLIS. PRIVE
2346;FORFAIT POUR ASTREINTE DE NUIT OU SAMEDI APRES MIDI EN ETABLIS. PRIVE
2347;FORFAIT D'ASTREINTE NUIT ET FERIE EN ETABLIS. PRIVE
2351;FORFAIT TECHNIQUE NORMAL IRMN -SCANNERS
2352;FORFAIT TECHNIQUE REDUIT IRMN -SCANNERS
2353;FORFAIT TECHNIQUE SCANNER (SPP expo amiante)
2354;FORFAIT TECHNIQUE TOMOGRAPHIE
2355;FORFAIT CONCOMMABLE MEDECINE NUCLEAIRE 01
2356;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 02
2357;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 03
2358;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 04
2359;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 05
2360;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 06
2361;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 07
2362;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 08
2363;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 09
2364;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 10
2365;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 11
2366;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 12
2367;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 13
2368;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 14
