,Region,Prix,Version,Year,Km,Phone,Pro,Argus,Prix plus haut que l'Argus,Lien vers l'annonce
53,ile_de_france,12000.0,INTENS,2014,42000.0,,False,10650.0,True,http://www.leboncoin.fr/voitures/1030748149.htm?ca=12_s
54,ile_de_france,12500.0,ZEN,2015,5250.0,0178455073,True,10467.0,True,http://www.leboncoin.fr/voitures/1030516010.htm?ca=12_s
55,ile_de_france,9790.0,INTENS,2013,53800.0,0139754280,True,10650.0,False,http://www.leboncoin.fr/voitures/1030496042.htm?ca=12_s
56,ile_de_france,10980.0,LIFE,2015,24600.0,0160625056,True,10121.0,True,http://www.leboncoin.fr/voitures/1006593533.htm?ca=12_s
57,ile_de_france,11720.0,LIFE,2015,11480.0,0175448151,True,10121.0,True,http://www.leboncoin.fr/voitures/1029606565.htm?ca=12_s
58,ile_de_france,16500.0,ZEN,2016,6000.0,0184040214,True,10467.0,True,http://www.leboncoin.fr/voitures/1029113352.htm?ca=12_s
59,ile_de_france,10800.0,LIFE,2015,22000.0,,False,10121.0,True,http://www.leboncoin.fr/voitures/976192388.htm?ca=12_s
60,ile_de_france,13990.0,ZEN,2016,1.0,0160625056,True,10467.0,True,http://www.leboncoin.fr/voitures/1028687174.htm?ca=12_s
61,ile_de_france,8950.0,INTENS,2013,25000.0,,False,10650.0,False,http://www.leboncoin.fr/voitures/1028001099.htm?ca=12_s
62,ile_de_france,20000.0,ZEN,2016,100.0,0184030570,True,10467.0,True,http://www.leboncoin.fr/voitures/1027119232.htm?ca=12_s
63,ile_de_france,20900.0,INTENS,2015,2350.0,0175448643,True,10650.0,True,http://www.leboncoin.fr/voitures/1003980024.htm?ca=12_s
64,ile_de_france,19700.0,LIFE TYPE 2,2016,100.0,0184030570,True,10175.0,True,http://www.leboncoin.fr/voitures/1026233921.htm?ca=12_s
65,ile_de_france,12500.0,INTENS,2015,17979.0,0175448151,True,10650.0,True,http://www.leboncoin.fr/voitures/1026235016.htm?ca=12_s
66,ile_de_france,12700.0,,2015,12800.0,,False,,,http://www.leboncoin.fr/voitures/1025724071.htm?ca=12_s
67,ile_de_france,9990.0,ZEN,2013,21500.0,0171025422,True,10467.0,False,http://www.leboncoin.fr/voitures/1002404906.htm?ca=12_s
68,ile_de_france,8700.0,INTENS,2013,37500.0,,False,10650.0,False,http://www.leboncoin.fr/voitures/1024207151.htm?ca=12_s
69,ile_de_france,12990.0,LIFE TYPE 2,2016,14.0,01.42.87.07.20,True,10175.0,True,http://www.leboncoin.fr/voitures/1024057804.htm?ca=12_s
70,ile_de_france,10490.0,ZEN,2013,24973.0,0170176498,True,10467.0,True,http://www.leboncoin.fr/voitures/1002044191.htm?ca=12_s
71,ile_de_france,14800.0,ZEN,2016,100.0,0184030570,True,10467.0,True,http://www.leboncoin.fr/voitures/1023692772.htm?ca=12_s
72,ile_de_france,10990.0,LIFE,2015,13195.0,0174704406,True,10121.0,True,http://www.leboncoin.fr/voitures/1001259838.htm?ca=12_s
73,ile_de_france,8400.0,ZEN,2013,62434.0,06.69.10.30.00,True,10467.0,False,http://www.leboncoin.fr/voitures/1022574878.htm?ca=12_s
74,ile_de_france,11490.0,INTENS,2013,7700.0,0623550699,True,10650.0,True,http://www.leboncoin.fr/voitures/1000566875.htm?ca=12_s
75,ile_de_france,9970.0,LIFE,2014,7297.0,0178769520,True,10121.0,False,http://www.leboncoin.fr/voitures/1000205618.htm?ca=12_s
76,ile_de_france,10950.0,INTENS,2015,22000.0,,False,10650.0,True,http://www.leboncoin.fr/voitures/1020259113.htm?ca=12_s
77,ile_de_france,12820.0,LIFE,2016,10.0,0143240835,True,10121.0,True,http://www.leboncoin.fr/voitures/1018969287.htm?ca=12_s
78,ile_de_france,11900.0,INTENS,2014,17885.0,0175448151,True,10650.0,True,http://www.leboncoin.fr/voitures/1019359181.htm?ca=12_s
79,ile_de_france,14464.0,INTENS,2016,10.0,0143240835,True,10650.0,True,http://www.leboncoin.fr/voitures/1018969305.htm?ca=12_s
80,ile_de_france,10950.0,INTENS,2013,15400.0,,False,10650.0,True,http://www.leboncoin.fr/voitures/1018931643.htm?ca=12_s
81,ile_de_france,14464.0,INTENS,2016,200.0,0143240835,True,10650.0,True,http://www.leboncoin.fr/voitures/1018969268.htm?ca=12_s
82,ile_de_france,13290.0,LIFE TYPE 2,2016,200.0,0148763773,True,10175.0,True,http://www.leboncoin.fr/voitures/953653115.htm?ca=12_s
83,ile_de_france,15600.0,ZEN,2016,100.0,0184030570,True,10467.0,True,http://www.leboncoin.fr/voitures/946608083.htm?ca=12_s
84,ile_de_france,12990.0,ZEN,2015,7975.0,0174730257,True,10467.0,True,http://www.leboncoin.fr/voitures/953171498.htm?ca=12_s
85,ile_de_france,9480.0,ZEN,2014,37240.0,0139754280,True,10467.0,False,http://www.leboncoin.fr/voitures/966409096.htm?ca=12_s
86,ile_de_france,12590.0,ZEN,2015,8214.0,0174704406,True,10467.0,True,http://www.leboncoin.fr/voitures/1013296781.htm?ca=12_s
87,ile_de_france,20000.0,INTENS,2014,100.0,0184030570,True,10650.0,True,http://www.leboncoin.fr/voitures/1012873366.htm?ca=12_s
88,ile_de_france,16990.0,INTENS,2016,1490.0,0164895656,True,10650.0,True,http://www.leboncoin.fr/voitures/1012089302.htm?ca=12_s
89,ile_de_france,10990.0,LIFE,2015,11494.0,0174704406,True,10121.0,True,http://www.leboncoin.fr/voitures/990711542.htm?ca=12_s
90,ile_de_france,11290.0,LIFE,2015,7569.0,0175448159,True,10121.0,True,http://www.leboncoin.fr/voitures/990328036.htm?ca=12_s
