name,price,version,year,mileage,type,phone,largusPrice,plus_chere_cote
Renault Zoe ZE Intens 2014,11000,Intens,2014,20000,Par,,11693,
Voiture renault ZOE,14000,N/A,2016,159,Par,,15609,
Renault Zoe Zen,235,Zen,2014,34000,Par,,11693,
Renault Zoe Zen charge rapide blanc nacrée,8700,Zen,2013,30000,Par,,10313,
Renault Zoe Life charge rapide,10350,Life,2014,7628,Pro,,11057,
Renault Zoe Zen charge rapide,10990,Zen,2014,25985,Pro,,11436,
Citroën C-zéro czero c zéro 16A Peugeot ion,7100,N/A,2012,60000,Par,,9509,
Renault Zoe Zen,12500,Zen,2015,8000,Pro,,12903,
Renault Zoe Life charge rapide,9900,Life,2013,20000,Pro,,9972,
Renault Zoe LIFE,11700,LIFE,2015,3666,Pro,,12097,
Renault Zoe Zen,8990,Zen,2013,46145,Pro,,10545,
Renault Zoe INTENS,11390,INTENS,2014,11269,Pro,,11693,
Renault Zoe Intens,9900,Intens,2013,32154,Pro,,10545,
Renault Zoe Intens charge rapide type 2,18500,Intens,2016,3500,Pro,,14377,
Renault Zoe Life,14300,Life,2015,4000,Pro,,12097,
Renault zoé haut de gamme,13000,N/A,2013,20000,Par,,10545,
Renault Zoe LIFE,10490,LIFE,2015,7090,Pro,,12097,
Renault Zoe Intens,9800,Intens,2013,23775,Pro,,10545,
Renault Zoe LIFE,11700,LIFE,2015,3666,Pro,,12097,
ZOE Intens 2013,9200,Intens,2013,38500,Par,,10545,
Renault Zoe Life Type 2,13490,Life,2016,10,Pro,,13555,
Zoe zen charge rapide 5p,12990,zen,2015,4750,Pro,,12681,
Renault Zoe INTENS,14990,INTENS,2016,10,Pro,,15609,
Renault Zoe INTENS CHARGE RAPIDE,10990,INTENS,2015,4695,Pro,,12903,
Renault Zoé,17000,N/A,2016,20,Par,,15609,
