SPECIALITE,INSCRIPT,FRANCE ENTIERE,FRANCE M�tropolitaine,DOM-COM,Alsace-Champagne-Ardenne-Lorraine,Aquitaine-Limousin-Poitou-Charentes,Auvergne-Rh�ne-Alpes,Bourgogne-Franche-Comt�,Bretagne,Centre-Val de Loire,Corse,Guadeloupe,Guyane,Ile-de-France,La R�union,Languedoc-Roussillon-Midi-Pyr�n�es,Martinique,Mayotte,Nord-Pas-de-Calais-Picardie,Normandie,Pays de la Loire,Provence-Alpes-C�te d�Azur,01 - Ain,02 - Aisne,03 - Allier,04 - Alpes-de-Haute-Provence,05 - Hautes-Alpes,06 - Alpes-Maritimes,07 - Ard�che,08 - Ardennes,09 - Ari�ge,10 - Aube,11 - Aude,12 - Aveyron,13 - Bouches-du-Rh�ne,14 - Calvados,15 - Cantal,16 - Charente,17 - Charente-Maritime,18 - Cher,19 - Corr�ze,2A - Corse-du-Sud,2B - Haute-Corse,21 - C�te-d�Or,22 - C�tes-d�Armor,23 - Creuse,24 - Dordogne,25 - Doubs,26 - Dr�me,27 - Eure,28 - Eure-et-Loir,29 - Finist�re,30 - Gard,31 - Haute-Garonne,32 - Gers,33 - Gironde,34 - H�rault,35 - Ille-et-Vilaine,36 - Indre,37 - Indre-et-Loire,38 - Is�re,39 - Jura,40 - Landes,41 - Loir-et-Cher,42 - Loire,43 - Haute-Loire,44 - Loire-Atlantique,45 - Loiret,46 - Lot,47 - Lot-et-Garonne,48 - Loz�re,49 - Maine-et-Loire,50 - Manche,51 - Marne,52 - Haute-Marne,53 - Mayenne,54 - Meurthe-et-Moselle,55 - Meuse,56 - Morbihan,57 - Moselle,58 - Ni�vre,59 - Nord,60 - Oise,61 - Orne,62 - Nord-Pas-de-Calais,63 - Puy-de-D�me,64 - Pyr�n�es-Atlantiques,65 - Hautes-Pyr�n�es,66 - Pyr�n�es-Orientales,67 - Bas-Rhin,68 - Haut-Rhin,69 - Rh�ne,70 - Haute-Sa�ne,71 - Sa�ne-et-Loire,72 - Sarthe,73 - Savoie,74 - Haute-Savoie,75 - Paris,76 - Seine-Maritime,77 - Seine-et-Marne,78 - Yvelines,79 - Deux-S�vres,80 - Somme,81 - Tarn,82 - Tarn-et-Garonne,83 - Var,84 - Vaucluse,85 - Vend�e,86 - Vienne,87 - Haute-Vienne,88 - Vosges,89 - Yonne,90 - Territoire de Belfort,91 - Essonne,92 - Hauts-de-Seine,93 - Seine-Saint-Denis,94 - Val-de-Marne,95 - Val-d�Oise,971 - Guadeloupe,972 - Martinique,973 - Guyane,974 - La R�union,976 - Mayotte
Anatomie et cytologie pathologiques,Ensemble des modes d'exercice,1592,1565,27,110,142,197,47,63,47,4,8,3,402,11,158,5,0,95,63,73,164,3,5,3,3,3,49,0,3,0,6,6,2,71,21,3,3,9,4,4,3,1,19,6,1,5,16,10,4,2,19,20,64,3,60,36,25,1,22,30,1,5,4,26,2,32,14,3,6,1,22,4,22,0,2,23,0,13,16,2,58,8,3,10,22,17,5,9,24,13,80,0,4,10,8,10,211,31,12,19,5,14,3,6,24,14,7,13,14,3,3,2,15,53,22,53,17,8,5,3,11,0
Anatomie et cytologie pathologiques,Lib�raux exclusifs,609,599,10,46,60,85,21,36,19,2,3,0,83,6,78,1,0,34,19,25,91,0,1,3,2,3,24,0,0,0,2,6,0,36,7,2,1,4,2,2,1,1,4,5,0,4,7,4,2,1,6,10,28,3,25,13,16,1,8,14,1,3,2,11,2,12,5,3,4,1,6,1,8,0,2,10,0,9,11,2,18,2,1,6,9,9,2,6,8,5,27,0,3,3,4,9,49,8,3,7,1,7,2,4,18,8,2,3,4,2,3,1,8,9,3,2,2,3,1,0,6,0
Anatomie et cytologie pathologiques,Mixtes,133,129,4,16,14,13,7,3,0,0,0,0,38,3,8,1,0,8,9,4,9,0,0,0,0,0,2,0,1,0,0,0,0,5,1,1,0,1,0,1,0,0,4,0,0,0,1,0,0,0,2,2,3,0,5,2,1,0,0,4,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,2,0,0,4,0,4,4,2,0,1,0,0,0,8,0,6,0,1,1,0,0,21,5,3,3,0,0,1,0,0,2,0,3,4,1,0,1,0,6,1,2,2,0,1,0,3,0
Anatomie et cytologie pathologiques,Salari�s hospitaliers,796,783,13,46,60,88,19,22,28,2,5,3,263,2,68,3,0,47,35,43,62,3,4,0,0,0,22,0,2,0,4,0,2,30,13,0,2,3,2,1,2,0,11,0,1,1,8,6,2,1,11,8,30,0,28,20,8,0,14,11,0,2,2,14,0,18,9,0,2,0,14,2,14,0,0,11,0,3,1,0,30,2,0,4,11,3,3,3,7,7,40,0,0,6,3,0,133,18,5,9,4,7,0,2,6,4,5,7,6,0,0,0,7,34,17,48,10,5,3,3,2,0
Anatomie et cytologie pathologiques,Autres salari�s,54,54,0,2,8,11,0,2,0,0,0,0,18,0,4,0,0,6,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,5,0,0,1,1,7,0,0,0,1,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,0,0,0,0,0
Anesth�sie-r�animation,Ensemble des modes d'exercice,11278,10983,295,932,968,1429,407,501,304,42,36,26,2330,160,1086,62,11,842,457,539,1146,42,38,40,16,34,288,36,24,16,32,57,25,548,132,21,35,83,23,24,22,20,116,75,9,28,113,56,31,40,130,121,336,9,365,289,194,20,113,213,22,46,26,136,17,261,82,21,41,10,136,51,99,22,22,176,12,102,154,18,476,64,30,152,149,134,39,74,276,97,532,19,70,67,73,114,1055,213,111,158,36,112,52,37,176,84,53,81,86,40,28,21,132,345,157,260,112,36,62,26,160,11
Anesth�sie-r�animation,Lib�raux exclusifs,3885,3802,83,256,381,486,128,174,101,20,13,7,691,43,450,19,1,260,151,211,493,18,9,15,6,9,118,22,8,0,17,20,5,246,45,8,21,29,9,10,8,12,37,29,5,13,26,19,11,9,46,45,162,4,144,118,69,11,33,70,9,14,9,37,6,100,30,2,16,3,53,18,39,5,8,48,3,30,38,12,151,16,3,53,35,76,12,41,62,25,188,5,23,30,28,40,241,74,42,70,13,31,17,21,76,38,20,19,21,11,9,7,61,121,57,59,40,13,19,7,43,1
Anesth�sie-r�animation,Mixtes,601,594,7,78,52,75,30,16,11,2,1,1,84,3,48,2,0,84,24,37,53,5,12,6,2,3,18,1,0,0,0,1,1,18,4,0,1,1,3,0,1,1,6,2,0,1,7,0,1,2,2,7,8,0,29,17,9,1,1,14,1,4,2,7,0,21,2,0,6,1,4,1,1,5,3,7,4,3,8,0,31,5,1,26,4,2,0,7,27,23,32,2,11,2,1,5,34,17,9,6,4,10,4,2,2,10,7,2,2,3,2,1,6,11,6,6,6,1,2,1,3,0
Anesth�sie-r�animation,Salari�s hospitaliers,6513,6311,202,588,503,835,244,299,183,20,21,18,1499,113,561,40,10,458,270,283,568,18,17,16,7,20,144,13,16,15,15,34,18,274,81,13,10,51,10,13,13,7,73,44,4,12,78,34,17,29,79,68,161,5,181,151,112,8,79,126,12,26,13,91,11,139,44,17,15,4,78,26,56,10,10,121,5,64,108,5,260,42,26,68,103,54,25,21,184,47,303,12,35,33,43,64,748,120,59,80,17,71,31,11,89,34,23,59,61,26,16,13,62,204,92,190,64,21,40,18,113,10
Anesth�sie-r�animation,Autres salari�s,279,276,3,10,32,33,5,12,9,0,1,0,56,1,27,1,0,40,12,8,32,1,0,3,1,2,8,0,0,1,0,2,1,10,2,0,3,2,1,1,0,0,0,0,0,2,2,3,2,0,3,1,5,0,11,3,4,0,0,3,0,2,2,1,0,1,6,2,4,2,1,6,3,2,1,0,0,5,0,1,34,1,0,5,7,2,2,5,3,2,9,0,1,2,1,5,32,2,1,2,2,0,0,3,9,2,3,1,2,0,1,0,3,9,2,5,2,1,1,0,1,0
Biologie m�dicale,Ensemble des modes d'exercice,2975,2902,73,225,263,307,102,130,92,13,20,8,769,32,255,12,1,200,120,130,296,9,11,7,5,6,83,4,5,4,7,14,5,146,34,3,7,27,8,11,10,3,35,11,3,10,21,9,9,13,44,29,73,4,90,83,55,4,35,62,3,15,9,33,5,48,23,2,13,1,43,11,34,6,6,48,1,20,36,6,118,18,7,28,38,39,7,15,59,19,106,4,18,17,6,25,309,59,37,50,7,25,12,6,40,16,16,20,21,10,9,6,38,95,74,110,56,20,12,8,32,1
Biologie m�dicale,Lib�raux exclusifs,1134,1111,23,85,115,104,32,44,38,12,3,3,250,14,119,2,1,74,49,47,142,3,3,4,3,2,43,2,1,4,4,6,3,54,10,0,4,14,4,6,10,2,3,4,2,7,5,4,6,6,16,14,32,2,34,32,15,3,9,25,2,8,4,13,2,19,12,1,4,0,12,7,13,2,3,12,1,9,22,4,34,13,3,19,11,27,3,11,18,7,27,3,9,6,4,9,61,23,20,22,3,5,8,3,30,10,7,2,4,5,4,2,22,33,37,30,25,3,2,3,14,1
Biologie m�dicale,Mixtes,45,45,0,6,1,2,1,2,3,0,0,0,15,0,6,0,0,3,1,0,5,0,1,0,0,0,1,1,1,0,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,5,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0
Biologie m�dicale,Salari�s hospitaliers,1237,1209,28,99,91,124,50,56,33,1,7,3,364,13,84,5,0,92,54,55,106,1,5,2,0,3,33,0,1,0,2,3,1,60,21,3,3,6,2,3,0,1,27,4,1,2,12,3,2,6,18,11,29,2,33,32,29,0,16,26,1,3,2,15,1,16,7,0,4,1,27,3,18,2,2,26,0,5,12,1,59,5,2,6,18,7,3,0,28,6,44,1,6,6,2,9,186,26,9,20,2,17,1,1,6,4,4,14,13,4,1,1,9,42,19,62,17,7,5,3,13,0
Biologie m�dicale,Autres salari�s,559,537,22,35,56,77,19,28,18,0,10,2,140,5,46,5,0,31,16,28,43,5,2,1,2,1,6,1,2,0,0,5,1,28,2,0,0,7,2,1,0,0,5,3,0,1,4,2,1,1,9,3,12,0,23,15,10,0,9,11,0,4,3,4,2,13,3,1,5,0,4,1,3,2,1,9,0,6,2,1,24,0,2,2,9,5,1,4,10,6,35,0,2,5,0,7,57,10,5,8,2,3,2,2,4,2,5,4,4,1,4,3,7,19,14,18,12,10,5,2,5,0
Cardiologie et maladies vasculaires,Ensemble des modes d'exercice,6996,6853,143,582,639,747,228,306,225,35,35,8,1650,78,620,20,2,536,261,272,752,24,34,28,13,14,186,21,17,7,23,37,24,335,84,10,29,72,20,28,13,22,58,52,7,28,48,54,22,39,86,68,180,8,228,129,105,12,88,125,17,27,21,71,6,135,45,18,27,6,58,30,56,12,15,96,14,63,96,14,268,51,18,125,74,84,24,50,148,86,231,8,40,33,28,75,605,107,110,154,25,58,36,33,143,61,31,48,36,34,31,12,133,224,158,165,101,35,20,8,78,2
Cardiologie et maladies vasculaires,Lib�raux exclusifs,3231,3153,78,263,302,297,77,100,108,24,16,3,689,47,381,11,1,209,113,118,472,13,6,3,6,3,112,8,10,2,8,22,14,215,26,3,11,28,8,7,10,14,15,13,2,13,22,22,14,15,28,41,112,5,117,78,34,3,41,52,5,15,11,22,2,67,30,7,16,3,23,13,21,3,3,36,5,25,50,7,106,21,7,57,30,64,18,32,72,43,100,4,12,17,10,32,188,53,55,83,10,19,24,23,99,37,8,11,8,15,7,5,82,119,73,46,43,16,11,3,47,1
Cardiologie et maladies vasculaires,Mixtes,1698,1683,15,146,149,216,66,86,46,7,6,0,405,6,106,3,0,150,75,66,165,6,16,17,6,5,47,10,3,2,8,6,6,68,33,5,9,22,10,12,2,5,16,18,2,4,16,12,2,17,23,14,22,1,49,31,29,1,8,33,3,6,4,27,4,27,6,4,3,2,14,7,10,4,5,33,6,16,23,5,68,13,5,37,22,9,0,14,36,17,47,1,9,5,11,22,146,28,26,41,7,16,4,0,20,19,15,18,8,6,14,2,22,35,49,61,25,6,3,0,6,0
Cardiologie et maladies vasculaires,Salari�s hospitaliers,1914,1867,47,166,178,227,81,113,70,3,12,5,482,23,127,6,1,153,70,84,113,5,12,8,1,6,26,3,4,3,7,7,4,51,23,2,9,21,2,9,0,3,25,18,3,11,10,20,6,7,33,13,46,2,57,19,41,8,38,39,8,6,6,20,0,38,9,7,8,1,21,9,25,5,7,26,3,21,23,2,75,16,6,28,21,8,6,2,35,26,82,3,19,11,7,20,229,26,29,26,8,22,8,9,24,5,7,19,19,12,10,4,26,54,33,53,32,12,6,5,23,1
Cardiologie et maladies vasculaires,Autres salari�s,153,150,3,7,10,7,4,7,1,1,1,0,74,2,6,0,0,24,3,4,2,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,1,0,0,1,0,2,3,0,0,0,0,0,0,2,0,0,0,5,1,1,0,1,1,1,0,0,2,0,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,19,1,0,3,1,3,0,2,5,0,2,0,0,0,0,1,42,0,0,4,0,1,0,1,0,0,1,0,1,1,0,1,3,16,3,5,1,1,0,0,2,0
Chirurgie g�n�rale,Ensemble des modes d'exercice,3610,3541,69,332,302,445,130,133,115,13,13,10,810,24,282,17,5,336,180,153,310,9,18,14,1,7,86,22,15,7,13,10,15,151,51,2,4,25,11,15,7,6,46,13,4,6,35,14,13,16,50,32,87,4,110,73,48,9,49,65,9,11,8,59,6,70,22,7,9,1,41,24,54,10,11,60,5,22,28,7,191,25,9,59,47,30,10,14,96,32,163,4,13,23,18,26,370,83,39,48,15,43,11,11,43,22,8,36,37,19,9,7,47,125,55,86,40,13,17,10,24,5
Chirurgie g�n�rale,Lib�raux exclusifs,991,973,18,76,90,140,20,30,27,6,3,1,210,9,89,5,0,78,61,43,103,3,2,4,0,2,28,14,3,1,7,4,4,44,13,1,2,8,6,5,2,4,5,7,1,3,3,4,2,3,10,11,30,2,24,15,5,2,4,19,0,4,3,14,3,16,9,0,3,1,8,12,16,4,3,10,2,8,9,4,43,8,2,17,10,20,3,6,15,8,52,3,0,13,5,11,80,32,12,24,4,8,6,6,18,11,3,7,9,2,4,1,23,31,21,8,11,3,5,1,9,0
Chirurgie g�n�rale,Mixtes,513,507,6,64,60,51,25,11,18,0,2,1,127,0,38,3,0,44,16,10,43,4,3,0,1,3,14,3,3,3,3,2,3,19,2,0,0,6,0,2,0,0,5,1,0,1,8,3,4,5,3,5,10,1,25,8,7,1,7,7,2,3,2,5,1,3,3,3,1,0,1,1,3,3,1,12,3,0,6,0,20,4,2,11,2,4,1,0,14,12,16,0,6,3,5,5,66,7,7,5,7,6,2,0,4,2,2,5,6,5,2,2,8,17,5,11,8,2,3,1,0,0
Chirurgie g�n�rale,Salari�s hospitaliers,2006,1963,43,186,143,244,81,91,68,6,7,8,452,15,147,8,5,197,99,97,152,2,13,8,0,2,40,4,8,2,3,3,8,84,36,0,2,9,5,7,4,2,35,5,3,2,23,7,6,8,36,16,45,1,58,50,36,6,38,39,6,4,3,40,2,49,8,4,4,0,32,8,35,3,6,37,0,14,13,3,114,11,5,30,34,5,5,5,64,12,91,1,7,7,7,10,216,44,18,17,4,29,3,5,17,9,3,24,21,11,2,4,14,73,28,65,21,7,8,8,15,5
Chirurgie g�n�rale,Autres salari�s,100,98,2,6,9,10,4,1,2,1,1,0,21,0,8,1,0,17,4,3,12,0,0,2,0,0,4,1,1,1,0,1,0,4,0,1,0,2,0,1,1,0,1,0,0,0,1,0,1,0,1,0,2,0,3,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,3,0,0,1,1,0,0,0,0,14,2,0,1,1,1,1,3,3,0,4,0,0,0,1,0,8,0,2,2,0,0,0,0,4,0,0,0,1,1,1,0,2,4,1,2,0,1,1,0,0,0
Chirurgie maxillo-faciale et stomatologie,Ensemble des modes d'exercice,1165,1149,16,46,93,140,34,20,31,6,2,0,320,11,121,3,0,82,63,65,128,5,4,4,1,1,29,1,2,1,3,6,6,63,19,1,1,7,3,7,4,2,8,2,0,2,13,8,4,2,5,9,38,1,29,29,9,1,17,16,2,5,4,18,2,32,4,0,5,0,15,9,3,0,0,9,0,4,10,1,45,14,1,9,4,16,3,15,13,5,61,1,6,10,10,10,158,30,17,33,5,10,7,6,23,11,8,7,9,1,2,1,15,32,17,30,18,2,3,0,11,0
Chirurgie maxillo-faciale et stomatologie,Lib�raux exclusifs,756,744,12,33,75,91,24,13,21,4,2,0,194,8,85,2,0,44,36,40,84,3,2,1,0,0,18,1,2,0,3,3,6,40,6,0,1,7,1,6,3,1,6,0,0,2,7,7,1,1,4,9,24,1,19,20,6,1,12,13,2,5,3,9,1,14,3,0,4,0,11,6,3,0,0,6,0,3,6,1,25,7,0,9,2,15,2,9,9,4,37,1,5,8,9,8,74,23,16,25,4,1,6,5,17,9,7,6,6,0,2,0,11,28,11,19,10,2,2,0,8,0
Chirurgie maxillo-faciale et stomatologie,Mixtes,228,225,3,5,7,29,7,6,5,2,0,0,65,2,20,1,0,23,16,16,24,1,1,1,1,0,6,0,0,1,0,2,0,14,8,0,0,0,1,0,1,1,1,2,0,0,4,0,2,0,1,0,9,0,3,4,3,0,3,0,0,0,0,7,1,13,1,0,0,0,1,1,0,0,0,1,0,0,3,0,13,5,1,0,0,1,1,2,1,0,19,0,1,1,0,0,43,4,0,5,0,4,1,0,3,0,1,0,3,0,0,1,1,1,3,7,5,0,1,0,2,0
Chirurgie maxillo-faciale et stomatologie,Salari�s hospitaliers,134,133,1,7,7,18,3,1,5,0,0,0,34,1,13,0,0,14,11,6,14,1,1,2,0,1,4,0,0,0,0,1,0,6,5,1,0,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,4,0,5,4,0,0,2,3,0,0,1,2,0,4,0,0,0,0,1,2,0,0,0,1,0,1,1,0,7,1,0,0,2,0,0,4,3,1,3,0,0,1,1,2,22,3,1,2,1,5,0,0,3,0,0,1,0,1,0,0,1,3,0,2,3,0,0,0,1,0
Chirurgie maxillo-faciale et stomatologie,Autres salari�s,47,47,0,1,4,2,0,0,0,0,0,0,27,0,3,0,0,1,0,3,6,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,19,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0
Chirurgie orthop�dique et traumatologie,Ensemble des modes d'exercice,3241,3179,62,273,298,419,144,148,100,14,14,5,619,24,318,17,2,254,125,160,307,15,25,20,9,13,70,17,12,6,12,15,13,115,32,9,17,33,10,12,6,8,34,22,5,18,31,22,10,10,40,30,87,6,98,80,48,6,34,59,14,15,13,36,6,62,27,4,18,3,41,18,28,11,11,45,6,38,45,10,109,26,12,68,26,36,12,28,66,34,136,3,32,25,31,42,253,53,52,59,9,26,22,12,63,37,21,16,21,14,15,5,50,64,48,44,49,14,17,5,24,2
