DONNEES - Effectifs des m?decins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNEE - 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECIALITE - Ensemble des sp?cialit?s d'exercice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEXE - Ensemble tous sexes confondus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGE - Ensemble tous ?ges confondus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECT.ACTIVITE,ENSEMBLE,h?pital public,?tablissement priv? ESPIC,?tablissement priv? lucratif,centre de sant?,cabinet individuel,"cabinet de groupe, soci?t?",pr?vention,autres secteurs,activit?s exerc?es par des rempla?ants,?tablissement public de sant?,h?pitaux militaires,?tablissement priv? ESPIC,?tablissement priv? lucratif,centres de sant?,autres structures du SSA,cabinet individuel,cabinet de groupe,exercice en soci?t?,transport sanitaire,entreprise d'int?rim,?tablissement de soins et pr?vention,pr?vention et soins en entreprise,?tablissement scolaire & universitaire,P.M.I Planification familiale,?tablissement pour handicap?s,?tablissement personnes ?g?es,?tablissement aide ? la famille,?tablissement d'enseignement,?tablissement protection enfance,?tablissement h?bergement r?adaptation,recherche,assurances priv?es,organisme de S?curit? Sociale,laboratoire de biologie m?dicale (LBM),minist?re & services d?concentr?s,collectivit?s territoriales,association et organisme humanitaire,LABM,autre ?tablissement sanitaire,r?partition distribution m?dicament DM,Fab. Exploit. Import. M?d. DM,pharmacie d'officine,centre de dialyse,para-pharmacie,centre anti-cancer,centre de transfusion sanguine,pharmacie mini?re,pharmacie mutualiste,secteur priv? PH temps plein,autre secteur d'activit?,appareillage m?dical,secteur non d?fini,recrutement et gestion RH,Com/Marketing/Consulting/Media,r?partition distribution m?dicament DM et fabrication exploitation Im,incendies et secours,entreprises industrielles et tertiaires hors indus,entit? d'un TOM,structures d'urgence hors ?tablissement d'hospitalisation,r?seau de sant?,"maison de sant?, p?le de sant?",si?ge social d'ES r?pertori?s dans FINESS,"centre de d?pistage (cancers, SIDA etc.)",activit?s exerc?es par les rempla?ants
Guadeloupe,1069,364,0,46,1,323,152,45,80,58,364,0,0,46,1,1,323,103,49,0,0,0,19,11,15,5,4,1,0,0,2,0,0,6,6,11,9,0,2,1,0,0,0,0,0,0,8,0,0,11,0,0,9,0,0,0,1,0,0,0,1,0,0,2,58
Guyane,583,254,40,6,4,83,79,37,44,36,254,0,40,6,4,0,83,72,7,0,0,7,7,6,17,6,3,1,0,0,3,1,0,6,1,7,3,0,2,0,0,0,0,1,0,0,1,0,0,2,0,0,6,0,0,0,0,1,0,0,0,0,0,0,36
Ile-de-France,48226,13656,1723,1256,2324,9858,9008,2166,5636,2599,13619,37,1723,1256,2324,126,9858,7522,1486,0,0,58,1088,294,726,487,407,72,16,31,135,194,98,398,261,421,270,34,56,170,2,470,0,14,0,490,129,0,0,357,21,6,343,1,30,11,40,515,0,0,26,1,0,4,2599
La R?union,2685,848,8,64,2,514,720,101,159,269,847,1,8,64,2,0,514,478,242,0,0,9,29,28,35,23,12,0,1,0,1,0,0,21,12,13,17,1,2,8,0,0,0,12,0,0,11,0,0,16,0,0,7,0,0,0,1,0,1,0,0,0,0,0,269
Languedoc-Roussillon-Midi-Pyr?n?es,20622,4963,358,888,179,4371,5382,831,2102,1548,4963,0,358,888,179,3,4371,4196,1186,0,0,39,427,124,241,209,249,26,6,11,39,24,4,198,123,96,141,2,12,163,0,26,0,12,0,181,74,0,0,225,18,1,127,0,0,3,27,87,0,0,9,0,0,6,1548
Martinique,1031,393,0,3,10,260,181,41,84,59,393,0,0,3,10,0,260,137,44,0,0,0,11,9,21,5,9,1,0,1,1,1,0,11,1,6,6,0,0,7,0,0,0,2,0,0,7,0,0,18,0,0,5,0,0,0,1,0,0,0,2,0,0,0,59
Mayotte,188,130,0,0,0,19,9,11,9,10,130,0,0,0,0,1,19,8,1,0,0,0,3,1,7,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,10
Nord-Pas-de-Calais-Picardie,17993,5380,355,387,187,3676,4178,893,1932,1005,5380,0,355,387,187,0,3676,3317,861,0,0,30,466,141,256,198,228,28,7,4,42,6,7,180,80,65,75,12,8,320,1,5,0,5,2,85,47,0,0,309,22,0,89,0,1,1,14,89,0,0,1,0,0,1,1005
Normandie,9691,3094,143,374,38,1587,2447,435,1035,538,3094,0,143,374,38,0,1587,2084,363,0,0,7,227,65,136,112,131,13,1,7,25,5,0,119,49,48,55,2,4,6,0,8,0,2,0,156,49,0,0,132,8,0,35,0,0,0,11,54,0,0,2,0,0,1,538
Pays de la Loire,10584,2973,194,329,66,1613,3106,507,1163,633,2973,0,194,329,66,1,1613,2553,553,0,0,30,285,81,111,92,140,11,5,6,35,6,7,129,50,54,85,0,3,38,1,5,0,6,0,133,66,0,0,184,2,1,41,0,0,0,17,42,0,0,2,0,0,1,633
Provence-Alpes-C?te d'Azur,20316,4367,325,866,234,4968,5408,837,2064,1247,4354,13,325,866,234,2,4968,4037,1371,2,0,40,455,119,223,194,215,10,1,7,48,13,5,207,144,87,166,4,16,69,3,20,0,16,0,216,65,0,0,344,7,0,66,0,0,1,40,83,0,0,4,0,0,9,1247
Saint Barth?l?my,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Martin,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
