,Description ZOE,Kilometrage,Annee,Prix,Pro,Region,Telephone,Argus 6920 KMAn,Argus Ajuste,Argus Appelation
32,RENAULT ZOE INTENS CHARGE RAPIDE,17885,2014,11900,1,ile_de_france,0175448151,11857.0,11942,INTENS CHARGE RAPIDE TYPE 2
33,RENAULT ZOE INTENS 5P,10,2016,14464,1,ile_de_france,0143240835,14470.0,14720,INTENS TYPE 2
34,RENAULT ZOE NOIR INTENSE,15400,2013,10950,0,ile_de_france,,10512.0,10835,ZEN CHARGE RAPIDE TYPE 2
35,RENAULT ZOE INTENS 5P,200,2016,14464,1,ile_de_france,0143240835,14470.0,14713,INTENS TYPE 2
36,RENAULT ZOE ZEN CHARGE RAPIDE,8214,2015,12590,1,ile_de_france,0174704406,12921.0,13103,ZEN CHARGE RAPIDE TYPE 2
37,RENAULT ZOE INTENS CHARGE RAPIDE,100,2014,20000,1,ile_de_france,0184030570,11857.0,17786,INTENS CHARGE RAPIDE TYPE 2
38,ZOE LIFE CHARGE RAPIDE,16300,2015,9999,1,provence_alpes_cote_d_azur,0621494561,12497.0,12343,LIFE CHARGE RAPIDE TYPE 2
39,RENAULT ZO? INTENS,17000,2013,10000,0,provence_alpes_cote_d_azur,0615222549,10694.0,10980,INTENS CHARGE RAPIDE TYPE 2
40,ZOE ZEN CHARGE RAPIDE 5P,4750,2015,12990,1,provence_alpes_cote_d_azur,06 87 80 88 13,12921.0,13215,ZEN CHARGE RAPIDE TYPE 2
41,RENAULT ZOE INTENS CHARGE RAPIDE,8000,2015,12900,1,provence_alpes_cote_d_azur,0484320215,13146.0,13338,INTENS CHARGE RAPIDE TYPE 2
42,RENAULT ZOE INTENS,10,2016,15590,1,provence_alpes_cote_d_azur,0422170122,14470.0,14720,INTENS TYPE 2
43,RENAULT ZOE LIFE CHARGE RAPIDE,7628,2014,10850,1,provence_alpes_cote_d_azur,0805805802,11272.0,11642,LIFE CHARGE RAPIDE TYPE 2
44,RENAULT ZOE INTENS 3500KM,3500,2014,12500,0,provence_alpes_cote_d_azur,,11857.0,12369,INTENS CHARGE RAPIDE TYPE 2
45,RENAULT ZOE INTENS NEGOCIABLE,20000,2013,10000,0,provence_alpes_cote_d_azur,,10694.0,10899,INTENS CHARGE RAPIDE TYPE 2
46,RENAULT ZOE,20,2016,17000,0,provence_alpes_cote_d_azur,,14218.0,14463,ZEN TYPE 2
47,RENAULT ZOE LIFE TYPE 2,10,2016,13490,1,provence_alpes_cote_d_azur,0673895460,13741.0,13978,LIFE TYPE 2
48,RENAULT ZOE INTENS,11269,2014,11990,1,provence_alpes_cote_d_azur,0422170108,11857.0,12138,INTENS CHARGE RAPIDE TYPE 2
49,RENAULT ZOE LIFE,7090,2015,11990,1,provence_alpes_cote_d_azur,0422170122,12394.0,12603,LIFE TYPE 2
50,ZOE ZEN SOCIETE CHOC ARRIERE DROIT FAIRE OFFRE,23000,2014,5600,1,provence_alpes_cote_d_azur,04.94.38.51.04,11655.0,11524,ZEN CHARGE RAPIDE TYPE 2
51,ZOE INTENS RECHARGE RAPIDE,9400,2014,11500,0,provence_alpes_cote_d_azur,,11857.0,12194,INTENS CHARGE RAPIDE TYPE 2
52,RENAULT ZOE LIFE TYPE 2,6000,2016,14000,0,aquitaine,,13741.0,13773,LIFE TYPE 2
53,ZOE ZEN,39000,2013,9500,0,aquitaine,,10512.0,9917,ZEN CHARGE RAPIDE TYPE 2
54,RENAULT ZOE LIFE ELECTRIQUE NOMBREUSES OPTIONS,24000,2014,9490,0,aquitaine,,11272.0,11089,LIFE CHARGE RAPIDE TYPE 2
55,ZOE INTENS,5297,2015,12900,1,aquitaine,,13051.0,13330,INTENS TYPE 2
56,RENAULT ZOE LIFE,12905,2015,11990,1,aquitaine,0531081450,12394.0,12423,LIFE TYPE 2
57,ZOE ZEN,36562,2013,8990,1,aquitaine,,10512.0,10045,ZEN CHARGE RAPIDE TYPE 2
58,RENAULT ZOE LIFE TYPE 2,1500,2016,18900,1,aquitaine,0516066014,13741.0,13927,LIFE TYPE 2
59,RENAULT ZOE 100% ELECTRIQUE,24000,2014,8990,1,aquitaine,06 47 75 31 57,11655.0,11466,ZEN CHARGE RAPIDE TYPE 2
60,ZOE INTENS,46000,2013,9500,0,aquitaine,,10694.0,9714,INTENS CHARGE RAPIDE TYPE 2
61,RENAULT ZOE LIFE,10139,2015,12490,1,aquitaine,0531081450,12394.0,12509,LIFE TYPE 2
